,Q28Uganda,,,Q28Uganda.Reponse1.Level1,Q28Uganda.Reponse1.Level2,Q28Uganda.Reponse1.Level3,Q28Uganda.Reponse2.Level1,Q28Uganda.Reponse2.Level2,Q28Uganda.Reponse2.Level3
134,COFFEE PESTS,,,Pests,,,,,
135,SOIL HAS BECOME INFERTILE,,,Soil management,Soil fertility,Low,,,
136,GOOD WEATHER,,,Weather,Good,,,,
137,"BAD WEATHER, HAILSTORMS",,,Weather,Extreme,Hail,,,
138,FAVOURABLE CLIMATE,,,Weather,Good,,,,
139,POOR CLIMATE LED TO REDUCTION IN COFFEE HARVESTED,,,Weather,Poor,,,,
140,I GOT SUPPORT FROM CAFE DIRECT INFORM OF MULCHES,,,Training,CPF,,,,
141,"I GOT SICK, REDUCED MY FARMING ACTIVITY",,,Illness,,,,,
142,COFFEE DISEASE,,,Pests,,,,,
143,AVAILABILITY OF ENOUGH LAND TO PLANT,,,Farm land availability,,,,,
144,HAIL STORMS AFFECTED THE CROPS,,,Weather,Extreme,Hail,,,
145,PESTS AND DISEASES,,,Pests,,,,,
146,HARSH WEATHER CONDITIONS,,,Weather,Extreme,,,,
147,INCREASE IN THE SEEDS PLANTED,,,Inputs,Seeds,High quality,,,
148,LACK OF ENOUGH LABOUR,,,Labour,Shortage,,,,
149,PLANTING WELL SORTED SEEDS,,,Inputs,Seeds,High quality,,,
150,GOT TRAINING ABOUT GOOD FARMING PRACTICES,,,Training,Good agricultural practices,,,,
151,PLANTED MORE CROPS,,,Crops,New coffee bushes planted,,,,
152,MY HARVESTS INCREASED,,,Crops,Productivity ,Increased,,,
153,INCREASED HARVEST IN COFFEE,,,Crops,Productivity ,Increased,,,
154,I CARRY OUT EARLY PLANTING,,,Crops,Early planting,,,,
155,DROUGHT,,,Weather,Drought,,,,
156,added more manure,,,Inputs,Compost,Manure,,,
157,too much drought,,,Weather,Drought,,,,
158,more harvest after adding manure,,,Crops,Productivity ,Increased,Inputs,Compost,Manure
159,"aplied manure,bought another plot",,,Farm land availability,Increased,,Inputs,Compost,Manure
160,he replanted,,,Crops,New coffee bushes planted,,,,
161,affected by hailstorm,,,Weather,Extreme,Hail,,,
162,gap filling wilt affected trees,,,Tree planting,,,,,
163,mulched and applied manure,,,Inputs,Compost,Manure,Inputs,Compost,Mulching
164,i malched my land,,,Inputs,Compost,Mulching,,,
165,more attension even in drought,,,Weather,Drought,,,,
166,drought last year,,,Weather,Drought,,,,
167,more efforts in developing the farm,,,Hard work,,,Good farm mangement,,
168,less drought,,,Weather,Good,,,,
169,better practices like malching,,,Inputs,Compost,Mulching,,,
170,similar practices,,,No changes,,,,,
171,i provide them with maturep,,,Inputs,Compost,Manure,,,
172,i covered my farm with dry grasses.,,,Inputs,Compost,Mulching,,,
173,Drought and heavy rain,,,Weather,Drought,,Weather,Rain,Heavy
174,diseases and weather changes,,,Pests,,,,,
175,there were many diseases last year,,,Pests,,,,,
176,better weather,,,Weather,Good,,,,
177,paying more attension to the farm,,,Good farm mangement,,,,,
178,manuring and malching,,,Inputs,Compost,Mulching,Inputs,Compost,Manure
179,affected by drought,,,Weather,Drought,,,,
180,because of pest and diseases,,,Pests,,,,,
181,Because of drought,,,Weather,Drought,,,,
182,Because of price fluctuations of tea,,,Prices,Price fluctuation,,,,
183,Because of fertilizers,,,Inputs,Fertilizer,,,,
184,Because of price fluctuations,,,Prices,Price fluctuation,,,,
185,Because i have a worker,,,Labour,Increased,,,,
186,According to increased producation,,,Crops,Productivity ,Increased,,,
187,There is no money for in puts,,,Finances,Lack of finances,,,,
188,because of too much sun and lack of labour,,,Weather,Drought,,Labour,Shortage,
189,Due to climate change and lack of labour and ferti,,,Weather,Changing,,Labour,Shortage,
190,they changed prices of tea and so capital dropped.,,,Prices,Price fluctuation,,,,
191,because of priced of tea which are unstable,,,Prices,Price fluctuation,,,,
192,Because no fertilizer,,,Inputs,Fertilizer,Low volume applied,,,
193,pest and diseases,,,Pests,,,,,
194,i hire labours to maintain it,,,Labour,Increased,,,,
195,i lacked manure,,,Inputs,No Compost,Manure,,,
196,i planted and harvested in time,,,Good farm mangement,,,,,
197,I have knowledge on farming issues,,,Good knowledge,,,,,
198,it was Gods plan.,,,God,,,,,
199,l applied alot of mature in my plantations,,,Inputs,Compost,Manure,,,
200,Because of lack of fertilixers,,,Inputs,Fertilizer,Low volume applied,,,
201,Because the season has not been bad to the farmer.,,,Weather,Good,,,,
202,because of lack of fertilizer,,,Inputs,Fertilizer,Low volume applied,,,
203,Because there is an improvement in tea produce,,,Crops,Productivity ,Increased,,,
204,Because of weather and lack of fertilizer,,,Weather,,,Inputs,Fertilizer,Low volume applied
205,Because of lack of inputs and lack of labour,,,Inputs,Fertilizer,Low volume applied,Labour,Shortage,
206,Because of prices,,,Prices,,,,,
207,Because i put more fertilizers,,,Inputs,Fertilizer,,,,
208,Because of lack of capital,,,Finances,Lack of capital,,,,
209,the season was favourable,,,Weather,Good,,,,
210,"pest and diseases , drought",,,Pests,,Weather,Drought,,
211,l mulched my plantation,,,Inputs,Compost,Mulching,,,
212,becauses of frost.,,,Weather,Extreme,Frost,,,
213,i have poor seeds,,,Inputs,Seeds,Poor quality,,,
214,i got more knowledge on my plantation through trai,,,Training,Good agricultural practices,,,,
215,i have recieved rainfall,,,Weather,Good,,,,
216,Because of inputs,,,Inputs,,,,,
217,Because of lack of inputs,,,Inputs,No inputs,,,,
218,Because of lack of fertilizers and prices are unst,,,Inputs,Fertilizer,Low volume applied,Prices,Price fluctuation,
219,Because the farmer applied fertilizer,,,Inputs,Fertilizer,,,,
220,because of lack of fertilizers,,,Inputs,No inputs,,,,
221,Because of lack of fertilizers,,,Inputs,No inputs,,,,
222,Because of good appearance,,,Crops,Health,Good,,,
223,Due to lack of fertiliers,,,Inputs,Fertilizer,Low volume applied,,,
224,Because we dont have fertilizers,,,Inputs,Fertilizer,Low volume applied,,,
225,reliable rainfall,,,Weather,Good,,,,
226,lack of labour,,,Labour,Shortage,,,,
227,keep good standards of the farm,,,Good farm mangement,,,,,
228,"a lot of sunshine, a lot of rain",,,Weather,Good,,,,
229,lack of manure,,,Inputs,No Compost,Manure,,,
230,added some fertilizer,,,Inputs,Fertilizer,High volume applied,,,
231,been getting inputs which are of good standards,,,Inputs,Fertilizer,High quality,,,
232,"do not apply fertilizers, manure",,,Inputs,No inputs,,Inputs,Compost,Manure
233,not given fertilizers from mabale,,,Inputs,No inputs,,,,
234,do not have fertilizers,,,Inputs,No inputs,,,,
235,lack of manure and herbicides,,,Inputs,No Compost,Manure,Inputs,No inputs,
236,last year did not have inputs to put in the farm,,,Inputs,No inputs,,,,
237,"lack of fertilizer, herbicides, late payment",,,Inputs,No inputs,,Finances,Late payment,
238,"price for tea was low, lack of fertilizers",,,Prices,Poor pricing,,Inputs,No inputs,
239,lack of fertilizer,,,Inputs,No inputs,,,,
240,"lack of fertilizers, no good workers",,,Inputs,No inputs,,Labour,Shortage,
241,"did not apply fertilizer, less labour",,,Inputs,No inputs,,Labour,Shortage,
242,lack of fertilizers and manure,,,Inputs,No inputs,,Inputs,No Compost,Manure
243,applied manure,,,Inputs,Compost,Manure,,,
244,the workers have improved on plucking method,,,Labour,Improved quality,,,,
245,donot get manure to apply,,,Inputs,No Compost,Manure,,,
246,"poor leaf price, difficult in getting workers,",,,Prices,Poor pricing,,Labour,Shortage,
