,Q147.OtherInfoAreas,Q147.OtherInfoAreas.Reponse1.Level1,Q147.OtherInfoAreas.Reponse1.Level2,Q147.OtherInfoAreas.Reponse1.Level3,Q147.OtherInfoAreas.Reponse2.Level1,Q147.OtherInfoAreas.Reponse2.Level2,,Q147.OtherInfoAreas.Reponse3.Level1,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q150.HelpToImplementChanges.Reponse1.Level1,Q150.HelpToImplementChanges.Reponse1.Level2,Q150.HelpToImplementChanges.Reponse1.Level3,Q150.HelpToImplementChanges.Reponse2.Level1,Q150.HelpToImplementChanges.Reponse2.Level2,Q150.HelpToImplementChanges.Reponse3.Level1,Q150.HelpToImplementChanges.Reponse3.Level2,Q162.MainChallengesOnFarm,Q162.MainChallengesOnFarm.Reponse1.Level1,Q162.MainChallengesOnFarm.Reponse1.Level2,Q162.MainChallengesOnFarm.Reponse2.Level1,Q162.MainChallengesOnFarm.Reponse2.Level2,Q162.MainChallengesOnFarm.Reponse2.Level3,Q162.MainChallengesOnFarm.Reponse3.Level1,Q162.MainChallengesOnFarm.Reponse3.Level2,Q162.MainChallengesOnFarm.Reponse4.Level1,Q163.SolutionsToAddressProblems,Q163.SolutionsToAddressProblems.Reponse1.Level1,Q163.SolutionsToAddressProblems.Reponse1.Level2,Q163.SolutionsToAddressProblems.Reponse1.Level3,Q163.SolutionsToAddressProblems.Reponse2.Level1,Q163.SolutionsToAddressProblems.Reponse2.Level2,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q170.ChallengesOfSharingInfo.Reponse1.Level1,Q170.ChallengesOfSharingInfo.Reponse1.Level2,Q170.ChallengesOfSharingInfo.Reponse2.Level1,Q171.MakeSharingEasier,Q171.MakeSharingEasier.Response1.Level1,Q171.MakeSharingEasier.Response1.Level2,Q171.MakeSharingEasier.Response2.Level1,Q21.Income.Other,Q21.Income.Other.Reponse1.Level1,Q21.Income.Other.Reponse1.Level2,Q21.Income.Other.Reponse2.Level1,Q21.Income.Other.Reponse2.Level2,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q93.BankAccountChallenges.Reponse1.Level1,Q93.BankAccountChallenges.Reponse2.Level1,Q95.BankLoanFacilityChallenges,Q95.BankLoanFacilityChallenges.Reponse1.Level1,Q95.BankLoanFacilityChallenges.Reponse1.Level2,Q95.BankLoanFacilityChallenges.Reponse2.Level1,Q97.BankCreditChallenges.Reponse1.Level1,Q99.SACCOChallenges,Q99.SACCOChallenges.Reponse1.Level1,Q99.SACCOChallenges.Reponse1.Level2,Q99.SACCOChallenges.Reponse2.Level1
24,Continued support on improved farming,Training,Good agricultural practices,,,,,,,"helping me with wheel barrows,drying materials and hoes.",Inputs,Equipment,,,,,,"1.Pests and diseases and we have not found pestcides.
2.Alot of drought.
3.price fluctuations",Pests,,Weather,Drought,,Prices,Price fluctuation,,come up with activities that can generate money,Innovation ,Income generating activiteis,Bananas,,,when you grow coffee leave a space between them and always attend to them for better results.,I lack transport for going to different cells so as to be able to teach everyone.,Travel,,,alot of sensitization and give them like hoes and seedlings.,Sensitization,,,PAYING CASUAL LABOURERS,Wages,,,,working hard and trainings,,,,"late payment, low production from main cash crop",Repayment Hard,Farming Challenges,,,"High interest rates
High charges",High Interest,,
25,has no idea,,,,,,,,,"when given support interms of money,tools and manure i can be able to carry out the ideas because i love farming.",Finance,Implement new ideas,,Inputs,Equipment,,,most want Government to help them with money so as to implement these changes,Finance,,,,,,,,informing organic field officers to help us find pesticides for the pests and diseases affecting our coffee,Support ,Extension officers,,,,"How we can bend the trees and cuy the over grown ones and how to prune.
And how to harvest well.",some do not follow up and adopt the ideas that i share,Poor Committment,,,increase trainings in societies,Training,,,PAYING CASUAL LABOUR,Wages,,,,Trainings and change agents.,,,,low income got from tea so it becomes hard to pay back in time,Repayment Hard,Farming Challenges,,,Distance to reach the Sacco is far,Long Distance,,
26,I would love to own a generator to start irrigating during the dry season or other methods.,Water management,Irrigation,,,,,,,when am given some financial assistance.,Finance,,,,,,,Soil erosion,Soil mangement,Soil erosion,,,,,,,"About drought they have taught us to plant trees and also mulch so as to help in water retention.
they have also taught us how to plan bananas 2-2inches to fight drought.
they also tell us to completely destroy crops with diseases.",Tree planting,,,Pest management,,When i visit or meet them i can share with them,no challenges,No Challenges,,,To train them to be quick adopters,Training,,,WATER,Water,,,,We were trained on improved ways of farming,,,,"repayment terms, high interest rate",Repayment Hard,,High Interest,,,,,
27,"Babbed wire for my farm,pesticides.
To be taught more improved ways of farming.",Pest management,,,Fencing,,,Good agricultural practices,,Help ne with money,Finance,,,,,,,"Water is very far and wild animals attack my animals.
would also love to adopt mechanized farming but lacks tools like tractors.",Water,Access,Inputs,Equpiment,,Pests,Animal attacks,,planting trees,Tree planting,,,,,I would tell them exactly what i was taught,no challeges,No Challenges,,,Increase trainings so that we get to share ideas.,Training,,,BUYING LIVESTOCK,Livestock,,,,because of drought which affected animals and crop,,,,delay payment because of late payment from the factory,Repayment Hard,,Delayed Payment from Cooperative,,At times some SACCOS donot have sufficient money,Insufficient Disbursement Amount,,
28,"i do not have enough knowledge about most of the crops am growing,i need more training",Training,Good agricultural practices,,,,,,,more trainings on how i can overcome the challenge.,Training,,,,,,,lack of money to grow,Finance,,,,,,,,"We have made local fencing like using wood.
we also use small hoes for digging",Fencing,,,Equipment,,I would tell them and explain until they understand,People do not take what others have shared because people dont like each other.,Communication,,,Alot of sensitization.,Sensitization,,,LIVESTOCK PROJECTS,Livestock,,,,because of alot of drought this year,,,,sometimes when it is time to pay back find have not yet got the money so am forced to sell my animals to pay loan,Repayment Hard,,,,Some SACCOS lack money in case you want millions,Insufficient Disbursement Amount,,
29,"us as coffee gtowers,they normally give us seedlings and many more support but most times they do not get to all of us",Inputs,Seedlings,,,,,,,financial assistance with low interest rates,Finance,Low interest loans,,,,,,There are alot of weeds compared to someone who mulches,Weeds,,,,,,,,i get some loans from farmer groups,Finance ,Loans,,,,I would call all of them and teach me the same way i was taught.,Sometimes others agree with the idea and others disagree,Fellow farmers do not accept training,,,through more trainings and visiting more farmers,Training,,Visit Fellow Farmers Farms,trasport costs,Travel,,,,alot of sunshine,,,,delay payment from factory,Delayed Payment from Cooperative,,,,It takes time to get a loan in case of a need,Delayed Disbursement,,
30,Inputs interms of finances,Inputs,,,Finance,,,,,To be given financial assistance.,Finance,,,,,,,Pests and diseases affecting coffee,Pests,,,,,,,,i keep adding waste products and working on my firm as always,Work harder,,,Add waste products,,I would tell them exactly what i have been taught,Some do not mind and just ignore the ideas.,Fellow farmers do not accept training,,,Increase trainings,Training,,,labour,Wages,,,,Alot of sunshine,,,,delay in paying back,Repayment Hard,,,,Takes time to get loan,Delayed Disbursement,,
31,how to work on my banana plantation,Farm management,Bananas,,,,,,,When am given financial assistance.,Finance,,,,,,,Pests and diseases are my main problem,Pests,,,,,,,,i always try to cut the affected areas and burn them,Cut & Burn Affected Area,,,,,I would tell them do this and that to get this just ad i have been taught,Low adoptation,People lack necessities to implement new skills,,,more trainings,Training,,,land purchase,Land Purchase,,,,drought,,,,late payment because of delay payment from tea,Repayment Hard,,Delayed Payment from Cooperative,,At times they demand collasteral security,Collateral,,
32,"I need more training on modernized farming methods.
How to plan on how to fully utilize my farm.",Training,Good agricultural practices,,Farm planning,,,,,To equip me with more skills.,Training,,,,,,,i use a panga which makes it difficult for my work,Illness,,,,,,,,i have not yet,None,,,,,I would teach them as i have been taught and also add some more innovation on our farms.,No challenges,No Challenges,,,More trainings,Training,,,buy land,Land Purchase,,,,change in weather,,,,donot have any problem,No Challenge,,,,High interest rate within a short period of time,High Interest,,
33,Fertilizers for my crops.,Fertilizer management,,,,,,,,Helping me with finances and fertilizers and machines to plant.,Finance,,,Inputs,Equipment,Inputs,Fertilizer,Coffee pests and diseases and banana diseases.,Pests,,,,,,,,I use a panga,,,,,,All that i have been taught i would teach them.,some refuse to gather and be taught.,Poor Committment,,,To reach each and everyone and take time to explain to them so that they understand.,Share benefits,,,And basic needs,Daily Expenses,,,,Drought and lack of waste for fertilization,,,,late payment,Repayment Hard,,,,It delays to get money in case of emergency,Delayed Disbursement,,
34,"Type of trees suitable for my coffee,the best chemical which we can use in spraying which are not harmful to people and the soil.",Trees,,,Soil management ,,,Pest management,,When i get enough training and guidance regarding mulching practices.,Training,Mulching,,,,,,"Pests and diseases,natural hazards,thieves,lack of mulches and manure and labourers,drying materials are not enough",Pests,,Inputs,Fertilizer,Mulching,Labour ,Shortage,,I normally break off the affected area and burn them.,Cut & Burn Affected Area,,,,,I would tell them exactly how we have been told to improve our farming methods and increase our yields.,No challenge except more knowledge is shared,No Challenges,,,to show them how to work,Training,,,House hold care mainly,Daily Expenses,,,,"Because of mulching,use of fertilizers",,,,alot of bueracracy,Background Check,,,,At times they give us less money than we request,Insufficient Disbursement Amount,,
35,How to take good care of coffee,Training,Good agricultural practices,Coffee,,,,,,"Being given subsidised tools for using in the farm like hoes,pangas,wheelbarrows and many others.
pesticides for fighting the pests.",Inputs,Equipment,,Inputs,Agrochemicals,,,"Lack of finances.
Pests and diseases",Finance,,Pests,,,,,,Seeking for advise from agricultural officers,Support ,Extension officers,,,,I would encourage them to also adopt the new idea so thay we can all benefit from the new farming method.,no challenge,No Challenges,,,More trainings and seminars,Training,,,I also invest in business,Investment,Micro-enterprise,,,Drought,,,,,,,,,"At times they give 
loans depending on shares",Insufficient Disbursement Amount,Shares,
36,how to use waste products,Training,Waste product management,,,,,,,"If iam given transport means or sponsored in some other way to go for tours outside my area.
we cant get access to improved coffee seedlings.",Training,Farm demonstrations,,Inputs,Seedlings,,,Lack of tools to use like hoes,Inputs,Equpiment,,,,,,,"When i see a branch that had dried,i cut it off and burn it so that the disease does not spread to the whole plant",Cut & Burn Affected Area,,,,,All that i have been taught.,some farmers take long to adopt these ideas.,People lack necessities to implement new skills,,,More training.,Training,,,And investing in plantations,Investment,,Farm Costs,,i take good care of my farm,,,,,,,,,At times i get loan and i fail to pay back.,Repayment Hard,,
37,how to grow coffee because its my main cash crop,Training,Good agricultural practices,Coffee,,,,,,Helping us with what to use to wipe out the pests and diseases.,Training,Pest management,,,,,,alot of weeds in my banana plantation,Weeds,,,,,,,,I use my small hoes since thats what i have,Equipment,,,,,I would tell them what i have been taught so that we all adopt it and improve our farming skills hence increasing our income.,Some refuse to take on the advice.,Fellow farmers do not accept training,,,To invite them for trainings so that they get first hand information.,Training,,,also saves,Savings,,,,we harvested alot,,,,,,,,,No big challenge.,No Challenge,,
38,"To teach me about how to fight coffee pests.
visits on my farm to trach me more improved methods of farming",Training,Pest management,,Training,Farm demonstrations,,,,How to fight the pests that are destroying and drying our coffee.,Training,Pest management,,,,,,"Drying up of coffee trees.
when coffee is still young,it turns black in colour and the black branches fall off.
Pests and diseases.",Pests,,Water,Access,,,,,I sometimes mulch and add fertilizers,Soil mangement,Fertilizer,Mulching,,,I would teach them depending on how i have been taught.,some misinterprete the message and do not take it on,Fellow farmers do not accept training,,,When we keep getting trainings.,Training,,,buy salt,Food,,,,Alot of drought,,,,,,,,,High interest rate.,High Interest,,
39,More training on how to make my own manure and money.,Training,Compost,Manure,,,,,,When i get materials and more training so that i become an expert in bee keeping.,Training,Bee keeping,,Inputs,Materials,,,"pests and diseases
Drought
Lack of finances",Pests,,Weather,Drought,,Finance,,,"when a plant has been affected by coffee wilk,i cut them off and burn them from home.
I also informed field workers and they came and took a branch so as to carry out research but they have never got back to me.",Cut & Burn Affected Area,,,,,"I would visit them and teach them what to do, i would also help them with whatever i have just like many people come to my farm and get coffee seedlings.",Not understanding each other,Fellow farmers do not accept training,,Communication,more trainings and sensitization.,Training,,Sensitization,we buy salt,Food,,,,Lack of fertilizers,,,,,,,,,Many proceedures to get aloan,Background Check,,
40,How to fight banana wilt disease in my plantation.,Training,Pest management,Bananas,,,,,,When i get support from our society inform of money so that we can all put our ideas to work.,Finance,Implement new ideas,,,,,,"Pests and diseases.
lack of finances",Pests,,Finance,,,,,,when i find an affected plant i cut it off and burn it,Cut & Burn Affected Area,,,,,I would gather all of them and teach them or can go house to house,Misintepretation and they tend to think we have alot of time and land to waste.,Fellow farmers do not accept training,,Time,Even when they invite them for trainings they refuse so they should not be bothered and left to do whatever they want.,NA,,,investing,Investment,,,,because of drought,,,,,,,,,High interest rates to pay back the loan,High Interest,,
41,how to grow coffee,Training,Good agricultural practices,Coffee,,,,,,If iam given financial help from our society and more advice in regards to that.,Finance,,,,,,,"Pests and diseases.
Drought.
lack of finances.",Pests,,Weather,Drought,,Finance,,,I cut the dried or affected parts on the coffee tree and burn them.,Cut & Burn Affected Area,,,,,I would teach them everything that i have been taught so as to improve our quality.,"Some do not believe and do not adopt until they have problems,that is when they come back for help.",Fellow farmers do not accept training,,,"If i have means of transport,it would be easy for me to find them wherever they are.",Travel,,,and basic needs,Daily Expenses,,,,Coffee wilt disease and no waste to use,,,,,,,,,"High interest rates
High bank charges",High Interest,,
42,How to fight the coffee diseases and maybe give us organic pesticides to spray them.,Training,Pest management,Coffee,Inputs,Organic,,,,If i get manure for my crops and maybe finances to be able to buy cattle.,Inputs,Fertilizer,Manure,,,,,pests and diseases.,Pests,,Finance,,,,,,I cut off the affected area and burn them,Cut & Burn Affected Area,,,,,All that i have been taught because it would improve our income.,Some are not interested.,Poor Committment,,,Organize more trainings.,Training,,,Do development projects,Farm Costs,,,,Hail storms,,,,,,,,,NONE,No Challenge,,
