,Q147.OtherInfoAreas,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q162.MainChallengesOnFarm,Q163.SolutionsToAddressProblems,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q171.MakeSharingEasier,Q21.Income.Other.O6.Text,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q95.BankLoanFacilityChallenges,Q97.BankCreditChallenges,Q99.SACCOChallenges
29,"soil management
tea plucking rounds
fertilizer addition to the farm when and how to do so",,to be assisted financial support and training,gd,"building trench to prevent  soil erosion,
to diversify to other things",the new farming practices so that they also benefit,no challenges,,"wages, animal feeds,expanding farming,community group contribution,church contribution among others",reduced tea leaves production,,credit is limited because tea yield fluctuate,,delay sometimes of money
30,"soil testing
how to improve yield",,if am given financial aid i will do,"inadewuate food supply,
price flactuations,
drought,
hailstones and frost","outsourcing labour
planting improved seeds",everything taught especially farming practices,"time constraint
lack of facilities",being simple and practising myself so that when people see get the need to try and becoming willing to learn,"farming, wages",timely pruning after two and half years,,credit limit is low depending on crop yield,,reduced production of tea that make payment hard
31,soil content. its salinity and acidity,,financial support,"funds to run daily activities
record keeping pest and disease
transport problem","doing zero grazing
preparing local animal feeds
water harvesting from roof",the skills and information gaihed,no challange,information to farmers and time be created for lessons,"wages,animal feeds",:-X:-X:-D:-D:-\,,credit limit is low it relay on tea leaves delivered to fac5ory,,It is a challenge to repay the monthly amounts tea
32,"plucking rounds
how many times to apply fertilizer",,financial support to enable me practice,"weeds 
low yield in tea bushes","hand picking of weeds,
chemical weeding
sourcing loans to meet expenses","farming techniques,
plucking rounds",time factor,information cascading so that everyone becomes  aware,"wages,animals feed, church contribution,develop farm",due to low rain and too much cold,,"fluctuating crop yield/ prices makes credit limit to be low
high interest rates",,low credit limit
33,soil testing to know what i should do to improve yield,,"financial aid
better breeds","financial support
fluctuating prices
pest and disease
labour constraint
natural calamities","researching for knowledge of the farming practices and planning to start 
i have planted a crafted avocado as a pretest to the technique",farming practices which can improve yeild,lack of resources,people to be given information by sireet oep,"wages,animal feeds,",better rainfall,,"interest rates 
repayment is a challenge",,No challenges
34,"biogas
how to improve yield in my yea farming",,access to cheap finance,"fluctuating prices
unstable labour force
low yields",doing inter cropping to solve  food problem and planting bananas,dairy farming and tea farming production improvement,resistance by the other famers and time problem,phone numbers will improve communication,pluckers salary,good rain and applied fertilizer,,"interest rates
repayment difficulty when crop is low",,They take too long to process the loans
35,increasing production of tea leaves,,financial surpport,"inadequate training on technical know how on beekeeping, and goat rearing  animal rearing",digging terraces,farming practices which improve yield,people may not take up the training thus in may loose synergy and  strength to train as well as inability to share again,"access to power such as electricity
time be created so as farmers meet and share",pay plucker,massive hailstone lasted for 3 days on the ground,,"interest rates are high
repayment is hard during dry/cold season",,The no.of kgs of tea may sometimes be low
36,"how to improve yield
soil testing to know correct fertilizer to use
dairy farming
poultry keeping",,access to financial aid,"pest and diseases
weather changes such as heavy rain
hailstones
weeds","grazing cattle in small parts so as to make the place fertile with the animal waste.
outsourcing land to grow crops for home use
inter cropping to increase farm output
hand weeding",new farming practices that increases output,misunderstanding,organise meetings,"animal feeds,transport",stable rain and good fertilizer,,"interest rates are high
repayment is difficult during low crop",,No. of kgs of tea may sometimes be low
37,"biogas
chicks hatching
milking machine 
soil testing",,access to cheap fianace,its new idea and i will join very soon,"chemical weeding
hand weeding",the farming skills learnt,people may ask questions which i may not be able to handle,creating an interaction and communication platform and calling meeting,"wages, monthly expenses such zuku,animal feeds, assist the needy in the society",good  weather,,"repayment is hard during dry season,and during hailstone
high interest rates",,"Harambee sacco branches are far from home,guaranto"
38,"soil testing
how to apply fertilizer",,financial grant will do it,"inadequate food
soil erosion
shade trees","spraying/ chemical weeding
hand picking",ways to manage soil and water,"resistance by farmers
lack of resources",sireet oep to offer resources,paying pluckers,hailstone,,repayment is a challenge since sometime tea crop yield keep on fluctuating,,The number of kgs of tea might sometimes be low
39,"soil sampling to know correct fertilizer to apply
biogas",,"access to cheap source of finance
financial grant","tea yield is low
soil erosion",weeding  using round up and kalach,"chemical and hand weeding
chemical handling",lack of time to go train people,time be created for farmers to meet and share ideas,BUYING ANOTHER LAND,good rainfall,,"interest rates are high 
repayment during low crop season",,
40,soil testing to know its ph value ie salinity and alkalinity,,financial grants,"scarcity of land
poor land fertility
inadequate supply of food
weeds
pest and diseases","inter cropping (planting beans,maize,bananas and potatoes together)",how to take care of your farm,"misunderstanding from other who may think am proud
time constraint","forums be created to sensitize farmers
doing by example","WAGES AND SALARIES,MAINTENANCE OF THE FARM",timely and sufficient rainfall,,"repayment is a challenge during low crop
interest rates are high",,
41,"my soil be tested 
good ways to improve yield",,access to affordable source of finance and grants if possible,"weeds
fluctuating tea prices
labour turnerover",i dug borehole and started harvesting water to solve water problem,farming skills which improve output,respondent may be reluctant towards the information given,farmers sensitization on awareness,Farming,good weather such as rainfall and good health,,no challenge i am given what i require,,
42,"how to keep my farm to increase output
soil testing",,"financial access 
support and guidance to whats is supposed to be done on legal framework on value","fluctuating tea prices
frosts and hailstone
weeeds",chemical weeding and hand picking,everything i am trained on,time constraint and inadequate resources,i need to be train well so that i acquire more to tell other farmets,Tea farming,it rained on time,,"fluctuating interest rates
low credit rates",,
43,"how to improve tea yield
soil testing to know good fertilizer",,"training on bee keeping
asset support like beehive
access to finance","frosts and hailstones
weeds",hand picking of weeds,how to increase yield from small farm,time constraint,sireet to create farmers network to ease communication,Dairy farming,too much cold and frost,,kilos are not enough so i get less loans,,
44,soil ph value,,"financial grants
access to cheap source of finance","weeds
price fluctuation
inadequate food supply","renting land
hand picking weeds",how to embrace mechanized farming and conservation of water,time to meet is a challenge,"creation of field days and farmers day by sireet so as 
farmers meet to share",Buying more land,weather has been cold but its improving,,None,,
45,soil testing,,i request sireet to construct for me a dairy unit,"inadequate water
weeds
frost and hailtones",using chemical weeding and hand picking,new skills in  farming,time,"time be created so as  the choimim village family meet learn new things.
resistance by respondents",Repaying loans,poor weather too much hailstones,,"repayment when crop is low
high interest rates",,
46,soil test,,"i need financial grant,access to cheap source of finance",no challenge,weeding using hand and chemicals,how to keep your farm clean  and to improve productivity,communication with them,doing the same practically so that they see. working as an example,"Savings,harambees",poor rain,,"interest rates high
procedure to acquire is long and comple",,
47,soil testing to know crop appropriate to plant and good fertilizer,,"access to water supply will enable me go dairy farming
access to affordable source of finance
access to electricity","price fluctuation
weeds
labour turn over
food insecurity",reduce fertilizer cost,how to keep your farm clean and how to improve yield,"time challenge
lack resources",farmers to be taught on the importance sharing information,"Farming,dairy feeds,travelling,wages and salaries",frost and hailstone its too cold,,"High interests 
Unfair penalties due to uncontrolled loses/catastrophes",,
48,"fertilizer to use
biogas",,provided with dairy farming breeds,"fluctuating tea prices
weeds",not yet done,new farming techniques,"inadequate time
lack of resources",teaching farmers to accept training,,weather,,Price fluctuations on tea affect repayment,,
49,"dairy farming 
soil testing",,training on animal husbandry,"lack  of finance
scarcity of land
weeds","chemical weeding
hand pulling
planting pumpkins to to supplement food supply",chemical handling ands uses,"time 
lack 9f tools to use",teach farmers to accept new technique,,last year i pruned the tea bushes,,Low income,,
50,"soil test
tea transportation is costly 
high cost of fertilizer",,finance,"tea plucking labour
weeds","chemical weeding hand picking
keeping dry matter for animal feeds","how to weed farms
how to harvest and conserve water","time challenge
inadequate resources",creating farmers day by sireet to make it easy,,poor rain and fertilizer,,repayment due to fluctuation of tea production,,
51,"soil testing
farm planning",,provision of finance,no challenge other than weeds and drought,"manual weeding using jembe
chemical weeding",plucking table maintainance,"time constraint
inadequate resources",farmers to be taught to accept new techniques and ideas,,good weather conditions and  absence of pests,,reduced production of tea couses the sacco to take all the money available,,
52,"soil testing
how improve tea out put",,to be provided with finance,"weather changes
low price that increase cost of production",inter cropping to increase supply  of food,building terraces,"resistance by people
lack of time
lack resource",educate farmers and bring  field officers,,improved weather and absence of pests,,destruction tea bushes that meant to pay the loans is a major problem,,
53,"how to improve tea yield
soil test",,training on zero grazing,"weather changes
drought season
price fluctuation",chemical and hand picking of weeds,"pumpkins growing
farm weeding",time is a problem,educate us on importance of tea management,,inadequate rain and frost,,reduce production of tea leaves which sometimes affect payrment,,
54,"soil testing 
appropriate fertilizer to use",,provided with finance,"weeds
tea price fluctuations
inadequate food","hand pulling of weeds
chemical weeding",animal keeping and transportation,time to train them is limited,creation of farmers day and frequent meetings,,poor rain and cold,,high interest rates,,
55,"how to improve tea yield
soil testing",,provision of finance and training,"weeds
animal  feeds","saving dry matter during harvesting to feed animals
harvesting water during rainy season","planting shed tress
pruning
weeding
tea plucking",farmers resistance to the training,creation of meetings,,poor weather,,"low credit limit
high interest rates",,
56,"testing my soil to know ph value
sometime tea bushes go dry i need to know what i should do",,training,"weeds
fluctuating tea price","planting sweet potatoes to supplement maize produced 
pruning to improve yield
using chemical weeding",bee keeping,lack of resources and time,farmers to be sensitized on the need and importance of sharing information,,weather problem and i pruned other part,,reduced production of tea leaves increase interest in bang and also change in weather conditions,,
57,"improving out put
soil testing
pest control methods",,getting finance,"weeds
inadequate food supply","hand weeding using jembe
using chemicals to weed","planting improved seed
diversification from tea",time constraints,farmers to be brought together,,bad weather,,the loan is not enough for my farm,,
58,"farm planning
how to create market
poultry keeping
bee keeping",,provide with training and finance,"fluctuating price
weeds
hailstones",weeding both hand and chemical weeding,"kitchen gardening
new techniques",scarce time,when farmers are brought together on a meeting,,bad weather  inadequate rainfall,,none,,
59,"green house
soil testing",,training and finance,"weeds
low yield
hailstone","water harvesting
weeding using chemicals","water management
diversification",time challenge,cal for frequent  meetings,,long drought,,High interests,,
60,"soil testing
crop protection
the cause of calf deaths shortly after death",,provided with finance to building zero grazing unit,"scarcity of land
animal feeds
water",manual weeding using jembe,"growing three months food crops to solve food problem
how to prune tea",limited time,creation for communication platform by chief shed chairmen and sireet oep,,low rain,,Poor productions leads poor servicing of loan repayments,,
61,best tea farming practices,,access to affordable financial support,"weeds
low tea yield
food scarcity
soil erosion","weeding
planting seedlings when they ate ready to transplant",how to weed farm and to prevent soil erosion,"farmers resistance
time to mobilize",farmers should be taught by sireet to accept farmer to farmer training,,low rainfall,,High interests rates,,
62,best tea management practice,,access to money grants,"weeds
soil erosion",weeding using chemicals and manuall  weeding,"proper weeding
plucking standards","time is limit
farmers turn up on meeting is low",farmers to be brought together in a meeting,,delayed rain,,Very high interests rates,,
63,"good farming practice on tea,dairy farming",,"access to cheap source of financial
financial grant","weeds
fertilizer",inter cropping  to increase food base,"starting business
weeding
water harvesting",time is limited,farmers education to be done quarterly,,rain delayed,,"High interests 
Bad weather on tea affects loans",,
64,good farming practices,,"Training 
Finances","water 
weeds
fertility of land",weeding by pulling,"kitchen gardening
weeding",time is Limited,create day for farmers,,long spell of drought,,"High bank rates 
Low season affects repayments",,
65,"dairy farming,tea farming",,Change of attitude,"fertilizer
labour turnover
weeds","hand picking of weeds and using jembe with my husband
too much fertility i plant onions to reduce",crafting of fruits fish keeping,"time
some people are not willing to learn",time be created by sireet,,i had pruned tea last year,,LOW CREDIT,,
66,biogas. getting best yield in tea,,provision of finance to build poultry house,"market
weeds
weather changes","weeding manually and sometimes i use chemical weeding
terraces digging","biogas 
chicken keeping","time
farmers unwilling to learn",create platform where farmers meet and learn from each other,,long drought spell,,"THE NUMBER OF KGS YOU HAVE FOR TEA
LOAN REPAYMENT,IF THE FARMER HAS ONCE DEFAULTED,HE OR SHE IS NOT GIVEN THE LOAN",,
67,"best tea practices,dairy farming",,provision with information on potatoes farming,"labour turnover
moles
weeds","weeding manually using jembe and using chemicals
dinking terraces",how to  do farming inter cropping to improve food supply,"time 
some people are not interested",farmers to be sensitized  on the importance of information sharing,,i had pruned last year and weather  has been good,,No challenges,,
68,training on records n tea best practices,,develop the systematic way of doing,"weeds
inadequate food","weeding manually using a jembe andand pulling
spraying weeds","weeding
table maintenance","time 
farmers unable to conceptualize theory and when  you take them to practicals they have already lost patience",farmers day be set aside by eastern produce Kenya limited,,drought was long,,"Price fluctuations in tea
Low produce",,
69,best tea farming,,educate us and may be have more support from technicians,"weeds 
land fertility
hailstones",weeding that's hand picking,kitchen gardening,"time
people are reluctant to attend meetings",time be created say once in a month farmers to meet and learn  from each other,,"long dry spell,hailstone",,No challengea,,
70,"dairy farming,how to use small farm to get best yields.",,"have company veterinary to assist us
have agrovet available for us","weeds
fluctuating prices
soil erosion",i bought a donkey to transport water,"tea planting
weeding
digging terraces",people may be reluctant to practice,when farmers are brought together by sireet will be of great help,,low fertilizer and drought,,"Low credit 
Loan repayment is sometimes hard especially when there are low yields in tea",,
71,how i can get best yields in my farm,,provided with seeds and finance,"soil erosion
weeds
water problem",chemical weeding and manual weedings,"kitchen gardening
poultry keeping
tea farming",no,village farmers day be created each month for farmers to come together,,long dry spell and fertilizer given was not good,,"Sometimes you are not given the loan in time,sometimes it is hard to get guarantors",,
72,i need to be trained on record keeping,,zero grazing house to be constructed for me,"weeds
soil erosion
fluctuating tea prices","using chemical  and manual weeding
daily labourers","planting beans,potatoes and vegetable from hybrid Seeds","time constraint
lack of resources","creation of communication platform, chief to fix legal day for farmers",,climatic conditions rain was poor,,No. of kgs of tea might sometimes be low especially during dry seasons and this is something the bank considers when giving out loan,,
73,"zero grazing,green house farming",,provision of herbicides,"finance
weeds
market","i dug terraces to prevent soil erosion
i control weeds by using chemicals and manually clearing using jembe","banana growing
beans growing","time
turn up on meetings",farmers day be created,,it rained well and i applied fertilizer,,A lot of requirements are needed when you want to borrow,,
74,cattle rearing,,"to be provided with fertilizer,","weeds
market
water problem","chemical and hand weeding
digging terraces to prevent soil erosion
mulching to reduce water loss","tea nursery preparation
improving output on small scale farm
solving water problem by harvesting and having  a donkey","Negligence 
Lack of publicity",farmers be educate on importance of sharing farming information,,better rain and fertilizer,,No.of kgs of tea may sometimes be low,,
75,zero grazing,,Loans and finances,"weeds
price fluctuations
hailstone
drought","digging terraces 
mulching",planting shed trees,There are none,farmers to be taught to learn from others,,i had pruned some part of my tea farm last year,,"During dry seasons or when there are hailstorms,the tea production is low hence it's hard to access loans because the banks look at the no. of kgs of tea you have",,
76,"zero grazing,bee keeping",,Fertilizers to be given so that it will increase tea productions,"weeds
price fluctuation
lack of ready market 
labour turnover",clearing weeds manually,"biogas installation and its benefits
energy saving jiko
growing passion fruits
dairy farming","Bad attitude 
Low income 
Laziness",create awareness to farmers,,weather low rain,,"The number of kgs of tea are sometimes low hence hindering one from getting the high amount of loan he had applied for,The interest rate for the loans is so high,Defaulting during dry spells",,
77,best tea practices to get good yields,,"Donation of verified seeds 
Training on caring of tomatoes
Finances","weeds
soil erosion
labour turnover",chemical weeding,energy jiko installation and its benefits,"Fare/transport means 
Poor timed publicity affect attendance",time be created by sireet so that farmers come together,,cold and frost,,,,
78,"zero grazing,best farming practices",,Help on capital,"weeds
draught
soil erosion",chemical weeding and manual weeding at the edges,"mulching
terracing
weeding",no chalenge,farmers be educated on the importance of meetings,,improvement on tea production(tea has matured),,,,
79,"soil testing to know good fertilizer
how to improve output",,Financial support,"drought
weeds
soil erosion",i pluck myself and request neighbours when they are free tohe,"mulching
terracing",other farmers are not updated,farmers forums be created,,lack of rainfall,,,,
80,"soil testing
how to improve output",,Funding,weeds,"telling neighbouring farmers to do terracing
chemical weeding and i have chemical store",manual clearing of weeds,poor communication and poor commitment,farmers be brought together in a meeting,,"no maize disease this year,enough rain for tea",,,,
81,"soil test
good fertilizer to be used",,"Training,availability of resources","weeds
draught",chemical weeding and hand pulling,"weeding
shed trees planting",i dont know how to write,farmers to be educated to always learn from one another,,"enough rain,no maize disease",,,,
82,"Know more about tea care because sometimes rain may wash away fertilizers 
How to use organic manure 
Good health",,"TRAINING
FARM DEMONSTRATIONS","weeds
price fluctuation",hand weeding and chemical weeding,"weeding
planting of three month crop to supplement food supply",long distance to the buyingg centres and poor education level,farmers to be educated to attend trainings,,"drought affected my farm,hailstones",,,,
83,General farming techniques,,"FINANCIAL SUPPORT,LOW INTEREST LOANS WITH A LONGER REPAYING PERIOD","labour turnover
weeds","spraying to control pest
digging terracing
manual and chemical weeding","bee keeping 
weeding",no challenge,farmers training curriculum,,frost affected my farm,,,,
84,Management and record keeping,,FINANCIAL SUPPORT,"farm weeds
lack of market for kitchen garden products
water run off from neighbouring farmers","terracing to control soil erosion
controlling weeds by using chemical and clearing manually","chemical handling
bee keeping 
poultry keeping",poor roads communication,"farmers awareness
house to house visits",,low fertilizer that i applied,,,,
85,"Spraying and chemicals 
Cattle and Terry 
General farming on tea",,more financing,"weeds
labour turnover","i take loans,or sell tea to other companies","kitchen garden
safety handling of chemicals",poor roads and communication problem,farmers days and forums be created,,drought and price flactuation,,,,
86,best farming practices,,More financing,"lack of ready market
soil erosion
weeds",nothing,"rocket jiko
kitchen garden
farm cleaning",time to share is limited,all forums both farming and non farming time be set aside for farming highlits,,"drought,and haistonnes",,,,
87,potatoes farming,,Provision of more funds,"pest and diseases
weeds
soil erosion","i use maize stalk to feed my animals
chemical and hand weeding
working with my wife to provide labour","importance of passion fruits and the income that accrues from it
planting shed trees",time constraints and inadequate resources,people and all farmers should be motivated by sireet providing practical learning facility like giving them one seedling,,frost,,,,
88,"effectiveness of the fertilizers 
proper way of  plucking record",,"Providing more finances
Training",herbicides to use in the farm,"weeding manually and using chemicals
digging terraces","energy saving jiko
biogas",my old age id the problem,notthing,,"low fertilizer,drought",,,,
89,production of tea livestock and maize farming,,"Provision of finances,visit to the farm by extension officers,training farmers.",finance,"digging terraces 
weeding using both chemicals and manual","importance of digging terraces, planting trees, improving yield by pruning",education as many don't know how to write,i need to be trained and given information first,,poor weather condition not good for tea,,,,
90,"the correct fertilizer to use on my soil
soil test",,"Providing more finances,training",lack of finance,chemical weeding and manual weeding,zero grazing,no challenge so far,i need training on zero grazing,,poor weather condition,,,,
91,"soil tests
research on my farm and advice to improve yield",,"Training,providing funds","drought,lack of finance to develop my farm",Growing trees,"dairy farming,best tea practices",education,be trained first on zero grazing,,hailstones has reduced the productipn,,,,
92,"how to improve productivity
soil to be tested",,"providing funds,more training",expensive plucking rates,I not done anything,modern dairy farming,poor education,be trained,,i applied fertilizer this year,,,,
93,education on tea production,,"Provision of funds,training",expensive fertilizer,"Spraying 
Uprooting","dairy farming,how to get best tea yield",constant  conflicts with my neighbours,farmers to be educated on information shairing,,lengthy drought and bigger portion was prunned,,,,
94,plucking program for effective tea management yo get good output,,"Providing funds or any other support,more training","drought,",Uprooting,daily,no problem,farmers to allocate time for learning,,poor rainfall,,,,
95,"soil to be tested,which fertilizer to use",,"Provision of funds,more training","drought,frost",hand weeding,green house development for tomatoes,farmers who come to the shed are few,resources are scarce,,Poor fertility and drought,,,,
96,"soil testing,best farming practices",,"Provision of funds,training,labour",finance to fencing my farm,weeding within the rows,neighbours,"Training materials and practicals, lack of demonstrations","Liaising with stakeholders 
Good publicity",,Good productions from my farm,,,,
97,"soil testing,zero grazing,poultry keeping",,"Training,provision of funds","price fluctuation,plucking rate",building tarecess,cattle rearing,Other farmers may not agree without demonstrations,Transport,,I controlled soil erosion,,,,
98,"best tea practices,soil management",,"Provide funds,training",price for tea is not enough,not yet develop any,best tea practices,"Some may take time to understand
Lack of demonstrations","Be trained 
Incentives 
Demonstrations",,drought and hailstones,,,,
99,"soil erosion management,fertilizer application",,"Providing funds,more training",pluckers are not enough,construct water checks,tea best practices,Sometimes farmers have other engagements,"Posters in buying centers
Fare/transport",,good rain for tea and enough and timely fertilizer,,,,
100,best tea practice,,"Provision of funds,providing training on how to for example building terraces",hailstones and drought,"chemical weeding
uprooting and hand picking",best tea practice,"Failure to implement teachings due to high cost
Failure to attend training throughout, or in time",i need training materials to train other farmers,,sireet empowerment  plucks my tea,,,,
