,Q147.OtherInfoAreas,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q162.MainChallengesOnFarm,Q163.SolutionsToAddressProblems,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q171.MakeSharingEasier,Q21.Income.Other.O6.Text,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q95.BankLoanFacilityChallenges,Q97.BankCreditChallenges,Q99.SACCOChallenges
10,How best to manege water,,more information and materials,Soil manegment,come up with local solutions,about information,Farmers are ever busy,working in a group,looking after the farm,its still fertile,,high interest rates and long distances to the banks.,,The loan given is based on the coffee quantity
11,New farming methods,,intervation from farmer supporters,Tea price is low we cant afford the workers,we sale tea to other buyers,new ideas and information,Fercilition of trainers interms of material to use,work with Government,Medicine for animals,What i grow dont  come out well,,high interest rates,,Access to a loan that is less than what i want
12,how to grow other better crops apart from tea,,more and constant trainings.,"price fracturation 

Pestsides",use money for other activities to fercilitate the other,idears,materiald to use,Talk to our farmer leaders,water,the weather keeps changing,,"It takes time to get aloan
High interest rate",,delay in accessing the loan by the SACCO
13,Information about new farm inputs and how to apply them,,Farmers associations to help us with money so as to carry out these ideas,LOW PRICE OF TEA is a challenge,Non,what i hv learnt,l will have no challenge becouse am very prominate person in this community,working with other stake holders,"buying manures,mulches",Soil infertility,,"BANKS DO NOT LOAN OUT THE EXACT MONEY REQUESTED FOR.
MONEY IS USUALLY REDUCED",,no challenges
14,More information about market,,We would like to be provided with loan facilities from our societies with good interest rates.,less man power and finance,saling part of my land to support my farm,information,Farmers dont show up,use other options,home basics ,Soil is still fertile,,HIGH INTEREST RATES,,no challenge apart from uncertainities.
15,information on market,,To help us get easy access to government support or agricultural bodies.,Financial challenges,Not thought of any solution,To also improve their ways of farming so that they can both improve their household income,material to be used,come at one center piont,building,soil infertility,,farmer hasnt faced any problem,,delays in the time taken to get the loan.
16,Advise about my farming activities,,providing us with pesticides to eradicate the diseases,labour costs and fertilizers,we have no solution,"i would teach them how to mulch and also plant trees which will provide a shade for the crops.
making their own manure from gabbage.
removing spoilt coffee trees from plantations.",Transporting my self to other farmers,NOn,mulching,Soil fertility is low,,HIgh intrest rates.,,grace period is little
17,more information about tea,,"most times i do things on my own on the farm but when i feel i can nolonger handle alone,i find more help.",have less output in tea production,have no option,"Especially on the coffee diseases,i can teach them on how to fight it so that we later have good produce as farmers",NO CHALLENGE,none,farming,the soil fertility is not changing,,no challenge,,It takes some time to get a loan in you apply.
18,to experiance in good farming methords,,If iam given financial assistance i would easily be able to carry them out.,We low income againest the expendictures,i just have to work so harder to bridge the gup,All the information i have got so as to work together as a group for better yields.,Non,na,Farming,The land is still fair,,the bank needs a lot of security anf alot of bureacy to access a loan,,High interest rate
19,information on grazzing,,To train me in ways that can ease my farming so that i increase my production capacity,the price of tea keeps on changing,Not yet,I would tell them whatever i have been taught,No challenge,make sure i talk to farmers one by onep,Helping others who need help.,Poor state of land,,farmer has not got any challenge,,"High interest rates
Needs collateral security"
20,Grazing training,,more trainings.,fertilizers for tea,timmly weeding,i would tell the how to dig a hole put in waste products and keep feeding our crops,Mobilising farmers is the main challenges,To keep encouraging them and not get tired,My shop,soil fertility,,we dont get monet in time and alot of secutity,,No big challenge
21,information about bee keeping,,Help on how to make my own fertilizers and where to get wastes.,Fertilizers and price changes,use other posible ways,"i would tell them that inorder to combat the pests and diseases affecting coffee,they should cut thr affected pieces and burn them. and they can only do this by going through their farms everyday",Some members take long to understand and do what you are doing,Alot of sensitization and trainings,LABOUR,we dont have fertilizers,,they require alot of security and increased rates of intrests,,No challenge
22,coffee information,,"More training and workshops.
To also be taken to demostration farms and tours outside our locality.",Fertilizers,He contrals weed,"when they come to my farm and feel like learning,i can teach them.","Some are slow in implementing new ideas,they only do when they see my results",Increased sensitization and trainings.,MY CHILDREN,we have no faterlizers,,too much intrest rates,,At times it takes time to get the loan
23,We apply manure but qe dont know the soil we have so i need more informatio  about manure,,To be given assistance through loans from our farmer groups,"labour cost is so high 
financial challenges",come up with other generating activities like growing of bananas for sale,How they can prune their coffee and make it yield better produce,Some do not take on the information because they do not believe.,To be provided with transportation and easy and accessible means of communication.,BUYING LAND,i didn't buy fertilizers this year,,makes get broke for some time after paying the loan,,If you dont have shares you get less money
24,Continued support on improved farming,,"helping me with wheel barrows,drying materials and hoes.","1.Pests and diseases and we have not found pestcides.
2.Alot of drought.
3.price fluctuations",come up with activities that can generate money,when you grow coffee leave a space between them and always attend to them for better results.,I lack transport for going to different cells so as to be able to teach everyone.,alot of sensitization and give them like hoes and seedlings.,PAYING CASUAL LABOURERS,working hard and trainings,,"late payment, low production from main cash crop",,"High interest rates
High charges"
25,has no idea,,"when given support interms of money,tools and manure i can be able to carry out the ideas because i love farming.",most want Government to help them with money so as to implement these changes,informing organic field officers to help us find pesticides for the pests and diseases affecting our coffee,"How we can bend the trees and cuy the over grown ones and how to prune.
And how to harvest well.",some do not follow up and adopt the ideas that i share,increase trainings in societies,PAYING CASUAL LABOUR,Trainings and change agents.,,low income got from tea so it becomes hard to pay back in time,,Distance to reach the Sacco is far
26,I would love to own a generator to start irrigating during the dry season or other methods.,,when am given some financial assistance.,Soil erosion,"About drought they have taught us to plant trees and also mulch so as to help in water retention.
they have also taught us how to plan bananas 2-2inches to fight drought.
they also tell us to completely destroy crops with diseases.",When i visit or meet them i can share with them,no challenges,To train them to be quick adopters,WATER,We were trained on improved ways of farming,,"repayment terms, high interest rate",,
27,"Babbed wire for my farm,pesticides.
To be taught more improved ways of farming.",,Help ne with money,"Water is very far and wild animals attack my animals.
would also love to adopt mechanized farming but lacks tools like tractors.",planting trees,I would tell them exactly what i was taught,no challeges,Increase trainings so that we get to share ideas.,BUYING LIVESTOCK,because of drought which affected animals and crop,,delay payment because of late payment from the factory,,At times some SACCOS donot have sufficient money
28,"i do not have enough knowledge about most of the crops am growing,i need more training",,more trainings on how i can overcome the challenge.,lack of money to grow,"We have made local fencing like using wood.
we also use small hoes for digging",I would tell them and explain until they understand,People do not take what others have shared because people dont like each other.,Alot of sensitization.,LIVESTOCK PROJECTS,because of alot of drought this year,,sometimes when it is time to pay back find have not yet got the money so am forced to sell my animals to pay loan,,Some SACCOS lack money in case you want millions
29,"us as coffee gtowers,they normally give us seedlings and many more support but most times they do not get to all of us",,financial assistance with low interest rates,There are alot of weeds compared to someone who mulches,i get some loans from farmer groups,I would call all of them and teach me the same way i was taught.,Sometimes others agree with the idea and others disagree,through more trainings and visiting more farmers,trasport costs,alot of sunshine,,delay payment from factory,,It takes time to get a loan in case of a need
30,Inputs interms of finances,,To be given financial assistance.,Pests and diseases affecting coffee,i keep adding waste products and working on my firm as always,I would tell them exactly what i have been taught,Some do not mind and just ignore the ideas.,Increase trainings,labour,Alot of sunshine,,delay in paying back,,Takes time to get loan
31,how to work on my banana plantation,,When am given financial assistance.,Pests and diseases are my main problem,i always try to cut the affected areas and burn them,I would tell them do this and that to get this just ad i have been taught,Low adoptation,more trainings,land purchase,drought,,late payment because of delay payment from tea,,At times they demand collasteral security
32,"I need more training on modernized farming methods.
How to plan on how to fully utilize my farm.",,To equip me with more skills.,i use a panga which makes it difficult for my work,i have not yet,I would teach them as i have been taught and also add some more innovation on our farms.,No challenges,More trainings,buy land,change in weather,,donot have any problem,,High interest rate within a short period of time
33,Fertilizers for my crops.,,Helping me with finances and fertilizers and machines to plant.,Coffee pests and diseases and banana diseases.,I use a panga,All that i have been taught i would teach them.,some refuse to gather and be taught.,To reach each and everyone and take time to explain to them so that they understand.,And basic needs,Drought and lack of waste for fertilization,,late payment,,It delays to get money in case of emergency
34,"Type of trees suitable for my coffee,the best chemical which we can use in spraying which are not harmful to people and the soil.",,When i get enough training and guidance regarding mulching practices.,"Pests and diseases,natural hazards,thieves,lack of mulches and manure and labourers,drying materials are not enough",I normally break off the affected area and burn them.,I would tell them exactly how we have been told to improve our farming methods and increase our yields.,No challenge except more knowledge is shared,to show them how to work,House hold care mainly,"Because of mulching,use of fertilizers",,alot of bueracracy,,At times they give us less money than we request
35,How to take good care of coffee,,"Being given subsidised tools for using in the farm like hoes,pangas,wheelbarrows and many others.
pesticides for fighting the pests.","Lack of finances.
Pests and diseases",Seeking for advise from agricultural officers,I would encourage them to also adopt the new idea so thay we can all benefit from the new farming method.,no challenge,More trainings and seminars,I also invest in business,Drought,,,,"At times they give 
loans depending on shares"
36,how to use waste products,,"If iam given transport means or sponsored in some other way to go for tours outside my area.
we cant get access to improved coffee seedlings.",Lack of tools to use like hoes,"When i see a branch that had dried,i cut it off and burn it so that the disease does not spread to the whole plant",All that i have been taught.,some farmers take long to adopt these ideas.,More training.,And investing in plantations,i take good care of my farm,,,,At times i get loan and i fail to pay back.
37,how to grow coffee because its my main cash crop,,Helping us with what to use to wipe out the pests and diseases.,alot of weeds in my banana plantation,I use my small hoes since thats what i have,I would tell them what i have been taught so that we all adopt it and improve our farming skills hence increasing our income.,Some refuse to take on the advice.,To invite them for trainings so that they get first hand information.,also saves,we harvested alot,,,,No big challenge.
38,"To teach me about how to fight coffee pests.
visits on my farm to trach me more improved methods of farming",,How to fight the pests that are destroying and drying our coffee.,"Drying up of coffee trees.
when coffee is still young,it turns black in colour and the black branches fall off.
Pests and diseases.",I sometimes mulch and add fertilizers,I would teach them depending on how i have been taught.,some misinterprete the message and do not take it on,When we keep getting trainings.,buy salt,Alot of drought,,,,High interest rate.
39,More training on how to make my own manure and money.,,When i get materials and more training so that i become an expert in bee keeping.,"pests and diseases
Drought
Lack of finances","when a plant has been affected by coffee wilk,i cut them off and burn them from home.
I also informed field workers and they came and took a branch so as to carry out research but they have never got back to me.","I would visit them and teach them what to do, i would also help them with whatever i have just like many people come to my farm and get coffee seedlings.",Not understanding each other,more trainings and sensitization.,we buy salt,Lack of fertilizers,,,,Many proceedures to get aloan
40,How to fight banana wilt disease in my plantation.,,When i get support from our society inform of money so that we can all put our ideas to work.,"Pests and diseases.
lack of finances",when i find an affected plant i cut it off and burn it,I would gather all of them and teach them or can go house to house,Misintepretation and they tend to think we have alot of time and land to waste.,Even when they invite them for trainings they refuse so they should not be bothered and left to do whatever they want.,investing,because of drought,,,,High interest rates to pay back the loan
41,how to grow coffee,,If iam given financial help from our society and more advice in regards to that.,"Pests and diseases.
Drought.
lack of finances.",I cut the dried or affected parts on the coffee tree and burn them.,I would teach them everything that i have been taught so as to improve our quality.,"Some do not believe and do not adopt until they have problems,that is when they come back for help.","If i have means of transport,it would be easy for me to find them wherever they are.",and basic needs,Coffee wilt disease and no waste to use,,,,"High interest rates
High bank charges"
42,How to fight the coffee diseases and maybe give us organic pesticides to spray them.,,If i get manure for my crops and maybe finances to be able to buy cattle.,pests and diseases.,I cut off the affected area and burn them,All that i have been taught because it would improve our income.,Some are not interested.,Organize more trainings.,Do development projects,Hail storms,,,,NONE
43,How to plant and take care of coffee,,when i get financial assistance.,"Pests and diseases.
Lack of finances.",buy medicine for my cows and burn the affected plants,When they have not gone to workshops i would tell them what i have learnt and how they can solve it.,Some do not want to attend workshops because they need to be facilitated.,"Increase our standards of farming so that our farms attracts more visitors,we ought to be exemplary",To pay labours,change of seasons,,,,FAILURE TO SERVICE THE LOAN
44,How to grow and harvest good coffee,,"Since we are members of the society,we would appreciate it if we are supported with money which have no interests so that we also develop ourselves.","Pests and diseases.
Natural calamities",I cut off the affected areas.,I would tell them how they should carry out farming just as i have been taught.,Some people are slow in adopting ideas.,More trainings so as to teach them.,i buy matures,Pests and diseases,,,,HIGH INTEREST RATES
45,About how to grow good quality coffee,,when our society provides us with the  above materials and tools we would be very encouraged as other innovations come along.,"pests and diseases.
natural hazards",I cut off all the affected areas and burn them,I would tell them exactly what i have been taught.,Most are stubborn and do not adopt the ideas,More trainings.,Hire labours in my farm,Increased production,,,,LOANS OFFICERS WANT BRIBES
46,How to plant good quality with good yields.,,When i get enough money everything can be done.,Pests and diseases.,i cut them off and burn them,I would tell them exactly what they have told me,Some farmers are distant and therefore makes it difficult to communicate to them and share such valuable information.,More trainings so that we all learn.,Buy agricultural seeds.,Seasons are different affecting yields.,,,,sometimes you get less than you would like.
47,I would like more help in growing looking after my coffee and bananas.,,When am supported financially.,"Pests and diseases.
How to mulch because of lack of materials.",i cut the dried coffee plants and throw them away.,I would tell them exactly what i have been taught and i would even show them.,we have common problems affecting us so we all listen to each othetlr.,We should have very many meetings and also introduce the idea of change agents again since their contracts ended.,I buy utensils,Drought and hailstorms,,,,sometimes you are given less money than you need
48,I lack information about what others are doing in regards to farming.,,access to finances,"Pests diseases.
Shortage of labour.",We cut the affected trees and plant new ones,"when i see someone who is doing something wrong i teach them like how to plant,prune and mulch.",Some do not adopt the ideas and think we are wasting time and resources.,More trainings to teach us how to go about the problems and challenges.,transport,I built a good house,,,,facility may not have enough money to  loan
49,"Pests and diseases affecting the coffee. 
coffee plants are becoming totally black.",,enough training,"Pests and diseases.
my coffee is turning yellow and also turns black.","we cut down the affected plants and burn them and since we do not have what to use,we first put them under the sun to dry.","Let me say when iam taught about making waste for my farm,i would teach them exactly how to use them",especially those who are not in the society do not easily understand.,Increase trainings in the area.,"paying labour, construct a house",The season was good,,,,"delays,offer less, high intetest rate"
50,How to fight pests and diseases,,help from extension farmers,pests and diseases,We are not allowed to spray coffee using pesticides so we either remove or cut off the affected areas and burn them.,i would visit my friends and fellow farmers and show they exactly what i have been taught.,They first refuse my advice.,More trainings so that they also attend in person.,"paying loan, constructing a house",Alot drought leading to low yields,,,,high interet cmplicate repayment
51,I would have loved the information but problem is that i see iam growing old and the energy is also reducing but would like to continue farming with improved skills.,,easy access to fertilizers,No challenge.,I cut the affected areas and burn them all,What we have been taught and how to do it.,"When i take my time and reach someonea home and i teach them,some do not do what i teach them.",More trainings should be done.,taking care of parents,Pests and diseases were minimal,,,,loan delays
52,How to plant and care for robusta coffee.,,training,"Pests and diseases.
Lack of finances.
Lack of tools to use for pruning anf materials when harvesting.",I cut down the affected plants,how to control pests,Others do not put them into action.,More trainings should be carried., needs at home,I have no problem.,,,,limited shares
53,"I would like to be supported with cows for zero grazing and labour for farming.
Am also in need of fetilizers.",,Provision of financial support,"Pests and diaeases.
The cows normally fall sick especially during the dry season.","Farm pests and diseases.
When the coffee plants over grow,i find it hard to reach the upper parts of the coffee plants.",practicing mulching,some find it hard to implement because of laziness or lack of money,Increase the number of times trainings are carried out.,things at home,We have undergone alot of training in farming.,,,,fear to fail to pay back
54,I need more training in farming.,,provision of trainings,"Pests and diseases.
lack of manure.","When we meet in our society and table all our problems and seek for a collective solution as a society,i think all these problems will be eradicated.",how to rear bees,"There are good things only,i havent found any challenge",Bring more trainings about coffee growing.,home needs,Good season,,,,high interest rate
55,Farming techniques are very different so i would like to be trained morr.,,get people to carry out these changes on the farm,"Pests and diseases.
Lack of finances to put some ideas into action.
Lack of labour to work on the farm since i do farming alone and all the children are in school.",We try and get medicine for cows and also completely cut down the affected coffee plants.,planting coffee,favourable time to reach the farmers,proper time scheduling,keeping in sacco,Its because i planted new coffee plants,,,,no challenge
56,How and which materials to use for mulching.,,provision of more trainings,"Pests and diseases.
Lack of finances.
My soil does not sustain other crops except coffee and bananas",I buy coffee hasks and grass and use for mulching.,managing pests on a farm,long distances,organize meetings on a demonstration farm,"buy things at home like hens, goats",its because of the long drought,,,,Theres no challenge
57,To increase the training sessions so that we learn more new things.,,increase on my farm,"Lack of waste products and finances to buy them.
Lack of enough land.
Pests and diseases.",When i get some money i hire some labour but rarely.,proper mulching,most farmers are illiterate,make transportation easy,"invests in business, home use",lack of fertilizers,,,,paying back is not easy because of low production
58,Improved farming because it covers alot of areas regarding farming.,,sensitization on other ways to carry out mulching,"Pests and diseases.
lack of tools and grasd for mulching",I have started mulching and adding terraces.,how to deal with pests,long distance,provision of transportation,support home,use of fertilizers,,,,Getting less than you need
59,How to fight these pests and diseases,,provision of support like trainings,"Pests and diseases.
Lack of manure like cow dung.",The extension workers have taught us to cut off the affected area and burn them.,soil management,transportation and long distances,provision of transport,paying loans,weather changes,,,,delayed loan
60,How to grow and take care of coffee.,,provision of support,I have no one to help me do them on my farm and am too old to do them.,We cut down the affected trees and burn them,zero grazing,farmers ask for material help which i might not have,provision of some materials to the farmers,home use ,good weather,,,,there are high interest rates on loans
61,mulching,,Trainings,drought and pests,we use some very little manure which is ofcourse not enough,how to make a nursery bed,some are rigid,offer more training,buy household things,weather was favourable,,,,High intrest  rates
62,planting coffee and bananas,,Training materials,pests,I just throw waste products in my farm.,mulching,poot response from the farmers,offer transportation,needs at home,incresead number of plantations,,,,i have not yet got any problem
63,Mulching and cutting old coffee trees practically,,If we can get more trainings,"pests and diseases, duplicated drugs",to cut off the affected coffee trees,how to prevent pests,Facilitation like breakfast and lunch plus materials for the training.,sensitisation,buy basic needs at home,soil management,,,,not any problem
64,"harvesting coffee, mulching, and drying coffee.",,"Mobile network
Funds",pests and weather changes,cutting away the infected trees,value addition,transportation and facilitation,provision of support,"lubricant for vehicle and fuel, buying household needs",i added manure in the farm,,,,people dont pay promptly so its a big problem.
65,coffee planting,,"Financial support
Training","pests and diseases
prolonged drought",undergo training,how to effectively grow coffee,long distances and transportation,provision of facilitation,,favourable weather,,,,we are not registered  and people dont pay
66,Zero grazing,,If we can get training on how to prevent coffee diseases,Pests and diseases,none,the amount of space or distance that should be left between coffee trees,lack of enough knowledge,provide facilitation,,the price of coffee increased abit,,,,if i fall to pay they consificate my properties.
67,how to make a nursery bed for coffee,,Getting training,"Pests and diseases
climate changes
Thieves",cutting off affected trees,maintaining soil fertility,peoples' attitude,provide trainings,,i fell sick and didnt pay attention to the farm,,,,people dont pay back in time
68,how to harvest coffee and practice mulching,,If I can get financial support,It reduces on the production if you over prune,get training on how to handle them,how to make a work plan,long distances between farmers,carry out sensitizations,,long drought,,,,they dont want to pay money in time
69,how to prevent pests,,Always to have trainings and sensitising people,"Pests and diseases
Some times drought",cutting off affected coffee trees,how to carryout mulching,"poor attendance or turn up by the farmers, farmers ask for material support",not applicable,,loss of fertility,,,,I sell out my properties to pay back the loan.
70,value addition,,If i can be given a loan and training,"Coffee diseases and pests
Price fluctuation",practice mulching and cutting off affected plants,improving the quality of coffee,having alot of family responsibility,holding sensitization meetings,,the weather was abit favourable,,,,Difficulties in backing back if i get poor harvest
71,coffee farming,,Training,"Diseases and pests
Thieves",picking out the affected trees and burning them.,the importance of mulching,requesting fot material support by the farmers,proper sharing of information with my family members,,i lacked enough finances and pests affected coffee,,,,high interest rates.
72,effective coffee farming,,Organisation should always increase or mantain the price of coffee,Coffee Pests and diseases,cutting off the affectes trees,bee keeping,long distances between the farmers,sensitizing farmers and encouraging them to create groups that could help them.,,weather conditions,,,,high interest rate if donnot pay in time
73,maintaining soil fertility,,If i can training on how best to prevent Coffee disease especially wealt.,"Pests and duseases
Drought",cut off and burn the affected coffee trees,water management,conservertiveness about bee keeping and lack of enough space.,transport facilitation,,i carried out prunning,,,,first give in money before youare given a loan
74,mulching and weeding coffe plantations,,Training about coffee diseases and pests.,"pests and diseases
Inadequate manure",cut off affected trees,how to prevent pests and diseases,long distances and lack of tools,sensitization about the importance of bee keeping.,,the plantation was affected by pests,,,,
75,harvesting coffee,,To always attend training,Coffee disease and diseases,cut and burn affected coffee trees,Fellow Members of the society and cmmunity members,lack of facilitation,facilitation and support,,lack of mulching and composting,,,,
76,effective planting of coffee,,Training us,"Pests and diseases
Lack enough manure",cut off the affected trees,Family Members,some farmers are conservertive,Get some funds and sensitisation,,i had planted new coffee trees and also mulched,,,,
77,coffee growing,,Training on the new methods of farming,"Pests and diseases
Thieves",cut off the affected coffee trees,Fellow members and community members,"Transport costs.
Facilitation like allowances and food to provide during the  training",May be to always make appointment with them,,Proper care of the plantations,,,,
78,improving the quality of coffee and bananas,,I cut and uproot the coffee plant that has wealt,"Pests and diseases
Thieves who normally steak my coffee from the plantation",cut off affectes trees,My Friends,Time since since most of my friends are very far and busy,I can form a group for coffee growers,,favourable weather conditions,,,,
79,better coffee farming practices,,Traininin is highly needed.,"Coffee diseases
Weed",cutting and burning affected coffee trees,My close friend,"Low attendance
Limited time 
People need allowances to attend a discussion or training",To get more support from the coffee orgasations,,i didnt do anything different,,,,
80,bee keeping,,GETTING FINANCIAL HELP,"Coffee diseases
Pests
At times snow",cutting off and burning affected trees,Better methods of farming,No challenge because she is my neighbour,To first get training,,favourable,,,,
81,how to grow good quality coffee,,GETTING TAUGHT ON HOW TO CONTROL THE COFFEE WILT DISEASE,"pests and diseases
Drought
Thieves",cutting affected trees and burning them,"My exprience in coffee production
Information I will have acquired from the training",Low turn up of people because people need sitting allowances,If i can get some facilitation to motivate people to attend the trainings,,not maintaining soil fertility,,,,
82,maintaing soil fertility,,GETTING MORE HELP FROM THE CO-OPERATIVE SOCIETY,"Inadequete money to buy manure and pestcides.
Price fluctuation.
Low price",cutting off the affected trees and burning them,Best coffee practices,No big challenge,Provide training nearer to the farmers,,pests and diseases on the farm,,,,
83,water management,,BE GIVEN ACCESS TO LOANS TO HELP FINANCE AND BUY FARM INPUTS AND TOOLS,"Pests and diseases
I lack manure",cut off the affected plants,How to control coffee pests and diseases,Low turn up,"If there is some one from coffee organisations to go with.
Facilitation",,incresead number of coffee trees,,,,
84,how to improve on the quality of coffee,,EASIER ACCESS TO FINANCES,"Coffee wealt.
Price fluctustion
Coffee thieves",cutting off the affected coffee trees,Modern farming practices,Lack of money to implement what we normally learn,Need some facilitation and training,,i practiced mulching,,,,
85,how to prevent pests and diseases,,BE GIVEN GOOD SEEDLINGS,"Coffee wealt
Price flutuation",cut off the affected plantations,Best farming practices,"Low turn up 
In adequate time",If I am trained,,unfavourable weather conditions,,,,
86,maintaining quality,,AVAILABILITY OF FINANCES OR LOANS,"Pests and diseases
Coffee wealt",cutting off affected plantations,coffee plantation practices,Inadequate information,Attending trainings,,i added value to the farm by mulching,,,,
87,Solutions to coffee diseases and pests,,INCREASE IN FINANCING,"Pests and diseases
I fail to get money to buy manure
Again am always busy doing other things other than coffee",cutting off affected plants,Prevention of coffee disease,"Inadequete knowledge on coffee farming.
Time since most of them are busy",Provide training,,Weather was abit favourable,,,,
88,Information about the causes of price flutuation,,TRAINING IN MANURE MAKING,Coffee wealt.,cut and burn the affected plantations,benefits of prunning coffee,"Low turn up
Facilitation fee
 Lack of training materials",Need financial support and training materials,,pests and diseases affected the plantations,,,,
89,"Best farming Practices
Trainings
Prices of coffee
visting demonstrations from other farmers",,information on how yo keep bees,Pests and diaeases,cut and burn the affected plants,How best they can ensure quality of coffee,Low turn up of people,Need motivation and to be sensitised,,It because of coffee pests,,,,
90,On coffee diseases and pests,,more information and financial support,Coffee pests and disease.,cut off and burn affected plants,How to prevent coffee diseases and pests,"Inadequate knowledge on the subject.
Others demand for money",We should have training and there is a need for sensitisation,,Good methods of farming,,,,
91,Ho we can control coffee diseases and pests,,start up capital,"Pests and diseases
Low coffee prices
Coffee wealt.",cutting and burning the affected plants,Best coffee practices and best ways of ensuring qyality of coffee,Inadequate training,Need training for the farmers,,It was affected by snow during flowering,,,,
92,Coffee prices,,government suport,"Coffee diseases and pests
I donot have energy to make trenches since I am old.",cutting off and burning affected plantations.,How to control coffee diseases and pests,"At times lack of transport the farmers
Lack of training materials","Advising my fellow farmers to always attend trainings
The organisation to provide us training materials",,we got new types of coffee that are resistant,,,,
93,Information about modern coffee practices,,demos,"Coffee diseases and pests
In adequate money to buy mulches",cutting off affected plants.,"Coffee diseases
How to ensure quality of coffee",In sdequate informstion about coffee diseases and pests,If I can be trained and given training materials,,Good weather,,,,
94,Best coffee practices,,training on it,Pests and diseases especially coffee wealt,cut off affected plants and burn them,Coffee disease and pests,I might fail to get time to share information with others since I am always busy,Senstising coffee farmers,,Favourable weather,,,,
95,Coffee diseases and pests,,maximise coffee produce to get money that can enable him buy much more land,"Pests and diseases
Low prices 
Coffee wealt",no solutions per now,How to prevent the spread of coffee diseases and pests,They normally technical questions which require expertise,May be to fix some time on my schedule,,Good weather and addition of manure,,,,
96,About good coffee practices,,training on chicken housing,"Coffee diseases and pests.
Price price fluctuation",I always consult extention workers,How best we can ensure quality of coffee,"Indequete funds to facilitate training.
Lack kf training materials",Training atleast once in two months,,Good farming practices,,,,
97,Best and modern farming practices,,more trainibg on how to make cheap but good quality manure,Pests and diseases especially coffee wealt.,"I normally buy pestcides
Normally consult farmer promoters for guidance",Mantaining the quality of coffee,People can refuse to come which leads to low turnup,To always attend trainings and acquire training materials,,Best practices,,,,
98,Advice on how to properly grow coffee and ensure coffee quality,,training on these ideas,"Pests and diseases
Lack of casual workers to help in my plantation.
Price fluctuation.","Always attent trainings
Seeking guidance and advice from the professionals
Reporting thefty Cases to police",Any information I will have learnt,People demand for allowances,Sensitising,,Good Weather,,,,
99,Information about coffee management.,,getting credit facilities like loans at a low interest,"PESTS AND DISEASES, WEEDS, FINANCES AND LABOUR",I consult the extention workers,How to control coffee disease and pest,Low turn up.,"If We can senstise people about the importance of training, they can attend the sessions.",,Best farming practices,,,,
