OldColName,NewColName
"Qn. 19 Of them, how many are bread winners?",Q19-Dependents-BreadWinners
"Qn. 20 Of them, how many are children?",Q20-Dependents-Children
Qn. 21 Where do you spend your household income? Food O1,Q21-Income-Food-O1
Qn. 21 Where do you spend your household income?school fees O2,Q21-Income-SchoolFees-O2
Qn. 21 Where do you spend your household income?medical bills O3,Q21-Income-MedicalBills-O3
Qn. 21 Where do you spend your household income?clothes O4,Q21-Income-Clothes-O4
Qn. 21 Where do you spend your household income? energy O5,Q21-Income-Energy-O5
Qn. 21 Where do you spend your household income? Others O6,Q21-Income-Other-O6
Qtn. 21 Specific areas where Farmers Spends income_6,Q21-Income-Other-O6-Text
Qn. 22 Total Farm size (estimated by farmer) - and unit of measurement,Q22-FarmSize
Qn. 23 Out of your total area of land (mentioned above) what part is used for growing tea and/or coffee?,Q23-AreaForTeaCoffee
Qn. 24 out of your total area of land (mentioned above) what part is used for growing other crops?,Q24-AreaForOtherCrops
Qn. 25 Out of your total area of land (mentioned above) what part is used for growing Trees/Forestry?,Q25-AreaForTreesForestry
Qn.26 Out of your total area of land (mentioned above) what part is used for conservation?,Q26-AreaForConservation
"Qn. 27 Overall, how is the health and condition of your farm this year compared to the previous year?",Q27-FarmHealthComparison
Qn. 28 Why do you think that is so?,Q28-FarmHealth-Text
Qn. 29 What is your annual household income?,Q29-Income
Qn. 30 Which is the main cash crop that you are growing?,Q30-MainCashCrop
Qtn. 30 Other (Specify)_30,Q30-Other-Text
Qn. 31 How much did you harvest / produce from this main cash crop last year?,Q31-CashCropHarvestSize
Qn. 32 What proportion of your farm is used to grow this crop?,Q32-CashCropProportion
Qn. 33. How much of this did you sell?,Q33-CashCropSold
Qn. 34 How much did you and your family use?,Q34-CashCropUsed
Qn. 35 How much of this did you Save as Seed?,Q35-CashCropSavedForSeed
"Qn. 36 How much of this did you loose (quarter, half, 3/4, all, none)",Q36-CashCropLost
"Qn. 37 If lost, what was the cause of this loss? (Weather, pests, disease? Other?)_O1",Q37-CauseOfLoss-O1
"Qn. 37 If lost, what was the cause of this loss? (Weather, pests, disease? Other?)_O2",Q37-CauseOfLoss-O2
"Qn. 37 If lost, what was the cause of this loss? (Weather, pests, disease? Other?)_O3",Q37-CauseOfLoss-O3
"Qn. 37 If lost, what was the cause of this loss? (Weather, pests, disease? Other?)_O4",Q37-CauseOfLoss-O4
Qtn.37_4_Others (Specify),Q37-CauseOfLoss-Other-Text
Qn. 38 How much did you earn from selling this crop last year?,Q38-CashCropEarnings
Qn. 39 What was the (approximate) price you sold it for?,Q39-CashCropPx
Qn. 40 What was the (approximate) annual cost of production?,Q40-CostOfProduction
Qn. 41 Was last year an average year?,Q41-AverageYear
Qn. 42 Was production higher or lower than the year before?,Q42-ProductionHigherLower
Qn. 43 What are your main farming challenges with this crop?__O1,Q43-MainFarmingChallenges-O1
Qn. 43 What are your main farming challenges with this crop?__O2,Q43-MainFarmingChallenges-O2
Qn. 43 What are your main farming challenges with this crop?__O3,Q43-MainFarmingChallenges-O3
Qn. 43 What are your main farming challenges with this crop?__O4,Q43-MainFarmingChallenges-O4
Qn. 43 What are your main farming challenges with this crop?__O5,Q43-MainFarmingChallenges-O5
Qn. 43 What are your main farming challenges with this crop?__O6,Q43-MainFarmingChallenges-O6
Qn. 43 What are your main farming challenges with this crop?__O7,Q43-MainFarmingChallenges-O7
Qtn. 43 Other (Specify)_7,Q43-MainFarmingChallenges-O7-Text
Qn. 44 Do you grow any other crops on your farm?,Q44-OtherCrops
Qn. 45 Which other crops are you growing if any? Please tick all that apply_O1,Q45-WhichOtherCrops-O1
Qn. 45 Which other crops are you growing if any? Please tick all that apply_O2,Q45-WhichOtherCrops-O2
Qn. 45 Which other crops are you growing if any? Please tick all that apply_O3,Q45-WhichOtherCrops-O3
Qn. 45 Which other crops are you growing if any? Please tick all that apply_O4,Q45-WhichOtherCrops-O4
Qn. 45 Which other crops are you growing if any? Please tick all that apply_O5,Q45-WhichOtherCrops-O5
Qn. 45 Which other crops are you growing if any? Please tick all that apply_O6,Q45-WhichOtherCrops-O6
Qn. 45 Which other crops are you growing if any? Please tick all that apply_O7,Q45-WhichOtherCrops-O7
Qn. 45 Which other crops are you growing if any? Please tick all that apply_O8,Q45-WhichOtherCrops-O8
Qn. 45 Which other crops are you growing if any? Please tick all that apply_O9,Q45-WhichOtherCrops-O9
Qn. 45 Which other crops are you growing if any? Please tick all that apply_O10,Q45-WhichOtherCrops-O10-Text
Qtn.45 Other (Specify)_10,Q45-WhichOtherCrops-O11
Qn. 46 How much did you harvest / produce from Maize last year?,Q46-HarvestMaize
Qn. 47 How much did you harvest / produce from Cassava last year?,Q47-HarvestCassava
Qn. 48 How much did you harvest / produce from Rice last year?,Q48-HarvestRice
Qn. 49 How much did you harvest /produce from  Banana last year?,Q49-HarvestBanana
Qn. 50 How much did you harvest / produce from Plantains last year?,Q50-HarvestPlantains
Qn. 51 How much did you harvest / produce from Arrowroot last year?,Q51-HarvestArrowroot
Qn. 52 How much did you harvest / produce from Mango last year?,Q52-HarvestMango
Qtn. 53 How much did you harvest / produce from avocado last year?,Q53-HarvestAvocado
Qtn. 54 How much did you harvest / produce from Beans last year,Q54-HarvestBeans
Qn. 55 How much / what proportion of your farm is used to grow other crops mentioned above?  And/or   Number of bushes/trees/plants,Q55-ProportionForTheseCrops
Qn. 56 How much of the other crops you are growing on your farm did you sell?,Q56-ProportionCropsSold
Qn. 57 How much of the other crop you mentioned above that you are growing on your farm did you use yourself/by your family?,Q57-ProportionCropsUsed
Qn. 58 How much of the other crop you mentioned above that you are growing on your farm did you save as seed?,Q58-ProportionCropsSavedSeed
Qn. 59 How much of the other crop you mentioned above that you are growing on your farm did you loose?,Q59-ProportionCropsLost
"Qn. 60 If you lost some of your crop, what was the cause of this loss?_O1",Q60-CauseOfLoss-O1
"Qn. 60 If you lost some of your crop, what was the cause of this loss?_O2",Q60-CauseOfLoss-O2
"Qn. 60 If you lost some of your crop, what was the cause of this loss?_O3",Q60-CauseOfLoss-O3
"Qn. 60 If you lost some of your crop, what was the cause of this loss?_O4",Q60-CauseOfLoss-O4
Qtn.60 Others (Specify)_4,Q60-CauseOfLoss-O4-Text
Qn. 61 How much did you earn from selling this crop last year?,Q61-CropEarning
Qn. 62 What was the (approximate) price you sold it for?,Q62-CropSalePx
Qn. 63 What was the (approximate) annual cost of production?,Q63-ProductionCost
Qn. 64 Was last year an average year?,Q64-AverageYear
Qn.65 Was production higher or lower than the year before?,Q65-ProductionHigherLower
Qn. 66 What are your main farming challenges with this crop?_O1,Q66-MainChallenges-O1
Qn. 66 What are your main farming challenges with this crop?_O2,Q66-MainChallenges-O2
Qn. 66 What are your main farming challenges with this crop?_O3,Q66-MainChallenges-O3
Qn. 66 What are your main farming challenges with this crop?_O4,Q66-MainChallenges-O4
Qn. 66 What are your main farming challenges with this crop?_O5,Q66-MainChallenges-O5
Qn. 66 What are your main farming challenges with this crop?_O6,Q66-MainChallenges-O6
Qn. 66 What are your main farming challenges with this crop?_O7,Q66-MainChallenges-O7
Qtn. 66 Other (Specify)_7,Q66-MainChallenges-O7-Text
Qn. 67 Are you rearing any livestock?,Q67-RearingLivestock
"Qn. 68 If yes, which livestock are you rearing?_O1",Q68-WhichLivestock-O1
"Qn. 68 If yes, which livestock are you rearing?_O2",Q68-WhichLivestock-O2
"Qn. 68 If yes, which livestock are you rearing?_O3",Q68-WhichLivestock-O3
"Qn. 68 If yes, which livestock are you rearing?_O4",Q68-WhichLivestock-O4
"Qn. 68 If yes, which livestock are you rearing?_O5",Q68-WhichLivestock-O5
Qtn.68 Other (Specify)_5,Q68-WhichLivestock-O6-Text
"Qtn.69 If you rear cattle, how much (total amount) did you earn from it last year (2014)?",Q69-AmountEarnedCattle
Qtn. 70 What were the total number of cattle you sold last year?,Q70-NumberCattleSold
Qtn. 71 What amount of Kenyan shillings did you earn from sale of each cattle?,Q71-PxPerCattle
Qtn.72 What is the total earning that you got from the cattle raring project last year?,Q72-TotalEarningCattle
"Qn. 69 If you rare cattle, how much (total amount) did you earn from it last year (2014)?",Q73
Qn. 70 What were the total number of cattle you sold last year?,Q74
Qn. 71 What amount of Kenyan shillings did you earn from sale of each cattle?,Q75
Qn. 72 What is the total earning that you got from the cattle raring project last year?,Q76
"Qtn. 77 If you rear pigs, how much (total amount) did you earn from it last year (2014)?",Q77-AmountEarnedPigs
Qtn. 78 What were the total number of pigs you sold last year?,Q78-NumberPigsSold
Qtn. 79 What amount of Kenyan Shillings did you earn from sale of each Pig?,Q79-PxPerPig
Qtn. 80 What is the total earning that you got from the pig rearing project last year?,Q80-TotalEarningPigs
"Qtn. 81 If you rear chicken, how much (total amount) did you earn from it last year (2014)?",Q81-AmountEarnedChickens
Qtn. 82 What were the total number of chicken you sold last year?,Q82-NumberChickensSold
Qtn. 83 What amount of Kenyan Shillings did you earn from sale of each chicken/per chicken?,Q83-PxPerChicken
Qtn. 84 What is the total earning that you got from the chicken rearing project last year?,Q84-TotalEarningsChickens
Qtn. 85 Do you rare any other animal or bird out of those ones mentioned above?,Q85-RearOtherAnimal
"Qtn. 86 If you do rare any other animal/bird, mention the typeƒƒ?",Q86-OtherAnimalType
Qtn. 87 What amount of Kenyan Shillings did you earn from sale of each animal/bird mentioned above?,Q87-OtherAnimalPx
Qtn. 88 What is the total earning that you got from the raring the above bird/animal last year?,Q88-TotalEarningOtherAnimal
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_O1,Q89-MainSourcesIncome-O1
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_O2,Q89-MainSourcesIncome-O2
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_O3,Q89-MainSourcesIncome-O3
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_O4,Q89-MainSourcesIncome-O4
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_O5,Q89-MainSourcesIncome-O5
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_1,Q89-MainSourcesIncome-O6
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_2,Q89-MainSourcesIncome-O7
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_3,Q89-MainSourcesIncome-O8
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_4,Q89-MainSourcesIncome-O9
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?9_5,Q89-MainSourcesIncome-O10
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_6,Q89-MainSourcesIncome-O11
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_7,Q89-MainSourcesIncome-O12
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_8,Q89-MainSourcesIncome-O13
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_9,Q89-MainSourcesIncome-O14
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_10,Q89-MainSourcesIncome-O15
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_11,Q89-MainSourcesIncome-O16
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_12,Q89-MainSourcesIncome-O17
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_13,Q89-MainSourcesIncome-O18
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_14,Q89-MainSourcesIncome-O19
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_15,Q89-MainSourcesIncome-O20
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_16,Q89-MainSourcesIncome-O21
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_17,Q89-MainSourcesIncome-O22
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_18,Q89-MainSourcesIncome-O23
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)?_19,Q89-MainSourcesIncome-O24
Qtn. 89 Please estimate your 5 main sources of household income  (Maxmum is 5)_Others (Specify)?_20,Q89-MainSourcesIncome-O25-Text
Qtn. 90 Do you have access to farm financing (for example loans or credit) to develop your land?,Q90-AccessToFinancing
"Qtn. 91 If, yes, where have you obtained farm financing?_O1",Q91-WhereFinancingObtained-O1
"Qtn. 91 If, yes, where have you obtained farm financing?_O2",Q91-WhereFinancingObtained-O2
"Qtn. 91 If, yes, where have you obtained farm financing?_O3",Q91-WhereFinancingObtained-O3
"Qtn. 91 If, yes, where have you obtained farm financing?_O4",Q91-WhereFinancingObtained-O4
"Qtn. 91 If, yes, where have you obtained farm financing?_O5",Q91-WhereFinancingObtained-O5
Qtn.91 Others (Specified)_5,Q91-WhereFinancingObtained-O6-Text
Qtn. 92 How often do you use a bank account?,Q92-BankAccountHowOften
Qtn. 93 What are your challenges with accessing this financing?,Q93-BankAccountChallenges
Qtn. 94 How often do you use bank loan facilities?,Q94-BankLoanFacilityHowOften
Qtn. 95 What are your main challenges with accessing this financing,Q95-BankLoanFacilityChallenges
Qtn. 96 How often do you use Bank Credit facility?,Q96-BankCreditHowOften
Qtn. 97 What are your main challenges with accessing this (Bank credit) financing?,Q97-BankCreditChallenges
Qtn. 98 How often do you use SACCO facilities?,Q98-SACCOHowOften
Qtn. 99 What are your main challenges with accessing these SACCO facilities?,Q99-SACCOChallenges
Qtn. 100 Are there any other financing facilities that you use?,Q100-OtherFinancingFacilities
"Qtn. 101 If yes, mention the other type of financing facility/ies you use?",Q101-NameOtherFinancingFacilities
Qtn.102 How often do you use this other type of financing facility?,Q102-OtherHowOften
Qtn. 103 What are your main challenges with accessing this other financing facilities mentioned above?,Q103-OtherChalenges
Qtn. 104 Which good agricultural practices are you aware of?_O1,Q104-GoodAgPracticeAware-O1
Qtn. 104 Which good agricultural practices are you aware of?_O2,Q104-GoodAgPracticeAware-O2
Qtn. 104 Which good agricultural practices are you aware of?_O3,Q104-GoodAgPracticeAware-O3
Qtn. 104 Which good agricultural practices are you aware of?_O4,Q104-GoodAgPracticeAware-O4
Qtn. 104 Which good agricultural practices are you aware of?_O5,Q104-GoodAgPracticeAware-O5
Qtn. 104 Which good agricultural practices are you aware of?_O6,Q104-GoodAgPracticeAware-O6
Qtn. 104 Which good agricultural practices are you aware of?_O7,Q104-GoodAgPracticeAware-O7
Qtn. 104 Which good agricultural practices are you aware of?_O8,Q104-GoodAgPracticeAware-O8
Qtn. 104 Which good agricultural practices are you aware of?_O9,Q104-GoodAgPracticeAware-O9
Qtn. 104 Which good agricultural practices are you aware of?_O10,Q104-GoodAgPracticeAware-O10
Qtn. 104 Which good agricultural practices are you aware of?_O11,Q104-GoodAgPracticeAware-O11
Qtn. 104 Which good agricultural practices are you aware of?_O12,Q104-GoodAgPracticeAware-O12
Qtn. 104 Which good agricultural practices are you aware of?_O13,Q104-GoodAgPracticeAware-O13
Qtn. 104 Which good agricultural practices are you aware of? Others (Specify)_13,Q104-GoodAgPracticeAware-O14-Text
Qtn. 105 Which good agricultural practices have you been trained in?_O1,Q105-GoodAgPracticeTrained-O1
Qtn. 105 Which good agricultural practices have you been trained in_O2,Q105-GoodAgPracticeTrained-O2
Qtn. 105 Which good agricultural practices have you been trained in_O3,Q105-GoodAgPracticeTrained-O3
Qtn. 105 Which good agricultural practices have you been trained in_O4,Q105-GoodAgPracticeTrained-O4
Qtn. 105 Which good agricultural practices have you been trained inn_O5,Q105-GoodAgPracticeTrained-O5
Qtn. 105 Which good agricultural practices have you been trained in_O6,Q105-GoodAgPracticeTrained-O6
Qtn. 105 Which good agricultural practices have you been trained inn_O7,Q105-GoodAgPracticeTrained-O7
Qtn. 105 Which good agricultural practices have you been trained in_O8,Q105-GoodAgPracticeTrained-O8
Qtn. 105 Which good agricultural practices have you been trained inn_O9,Q105-GoodAgPracticeTrained-O9
Qtn. 105 Which good agricultural practices have you been trained in_O10,Q105-GoodAgPracticeTrained-O10
Qtn. 105 Which good agricultural practices have you been trained in_O11,Q105-GoodAgPracticeTrained-O11
Qtn. 105 Which good agricultural practices have you been trained in_O12,Q105-GoodAgPracticeTrained-O12
Qtn. 105 Which good agricultural practices have you been trained in_O13,Q105-GoodAgPracticeTrained-O13
Qtn. 105 Which good agricultural practices have you been trained in_O14,Q105-GoodAgPracticeTrained-O14
Qtn. 105 Others (Specify)_13,Q105-GoodAgPracticeTrained-O15-Text
Qtn. 106 Which activities do you practice on your farm?_O1,Q106-ActiviesPracticed-O1
Qtn. 106 Which activities do you practice on your farm?_O2,Q106-ActiviesPracticed-O2
Qtn. 106 Which activities do you practice on your farm?_O3,Q106-ActiviesPracticed-O3
Qtn. 106 Which activities do you practice on your farm?_O4,Q106-ActiviesPracticed-O4
Qtn. 106 Which activities do you practice on your farm?_O5,Q106-ActiviesPracticed-O5
Qtn. 106 Which activities do you practice on your farm?_O6,Q106-ActiviesPracticed-O6
Qtn. 106 Which activities do you practice on your farm?_O7,Q106-ActiviesPracticed-O7
Qtn. 106 Which activities do you practice on your farm?_O8,Q106-ActiviesPracticed-O8
Qtn. 106 Which activities do you practice on your farm?_O9,Q106-ActiviesPracticed-O9
Qtn. 106 Which activities do you practice on your farm?_O10,Q106-ActiviesPracticed-O10
Qtn. 106 Which activities do you practice on your farm?_O11,Q106-ActiviesPracticed-O11
Qtn. 106 Which activities do you practice on your farm?_O12,Q106-ActiviesPracticed-O12
Qtn. 106 Which activities do you practice on your farm?_O13,Q106-ActiviesPracticed-O13
Qtn.106Others (Specify)_13,Q106-ActiviesPracticed-O14-Text
Qtn. 108 Have you made any changes/ innovations on your farm or in your farming practices during the last year?  (Leave it open for respondents to answer without prompting),Q108-ChangesInPractice
Qtn 109 What change have you made in your farming practices?,Q109-WhatChange
Qtn. 111 When did you start implementing the change?,Q111-WhenChangeImplemented
Qtn. 112From where did you learn about this idea_O1,Q112-FromWhereLearned-O1
Qtn. 112From where did you learn about this idea_O2,Q112-FromWhereLearned-O2
Qtn. 112From where did you learn about this idea_O3,Q112-FromWhereLearned-O3
Qtn. 112From where did you learn about this idea_O4,Q112-FromWhereLearned-O4
Qtn. 112From where did you learn about this ideaa_O5,Q112-FromWhereLearned-O5
Qtn. 112From where did you learn about this ideaa_O6,Q112-FromWhereLearned-O6
Qtn. 112 Others (Specify)_6,Q112-FromWhereLearned-O7-Text
Qtn. 113 What was the cost of making the change ( Kenyan Shs.)?,Q113-CostOfChange
"Qtn. 114 Have you started any new micro-enterprise, business or small trade activities in the last year?",Q114-NewBusinessStarted
"Qtn. 115 What new micro-enterprise, business or small trade activities have you started?",Q115-WhatNewBusiness
Qtn. 117 From where did you learn about this idea _O1,Q117-FromWhereLearned-O1
Qtn. 117 From where did you learn about this idea_O2,Q117-FromWhereLearned-O2
Qtn. 117 From where did you learn about this idea_O3,Q117-FromWhereLearned-O3
Qtn. 117 From where did you learn about this idea_O4,Q117-FromWhereLearned-O4
Qtn. 117 From where did you learn about this idea_O5,Q117-FromWhereLearned-O5
Qtn. 117 From where did you learn about this idea_O6,Q117-FromWhereLearned-O6
Qtn.117 Others (Specify)_6,Q117-FromWhereLearned-O7-Text
Qtn.118 What was the cost of starting it?,Q118-CostStarting
Qtn.119 Is it making a difference to your income?,Q119-DifferenceToIncome
Qtn. 120 How does this contribute to your household income?,Q120-HowContributeIncome
Qtn. 121 Overall how has your income from small businesses changed since the previous year?,Q121-OverallIncomeChange
Qtn. 122 Why do you think your income has changed that way (as selected above)?,Q122-WhyIncomeChanged
Qtn.123 Do you keep any records regarding your farming activities?,Q123-FarmingRecordsKept
"Qtn.124  If yes, Which kind of records do you keep?",Q124-WhichRecordsKept
Qtn. 126 How often do you update them?,Q126-HowOftenUpdated
"Qtn. 127 If no, why don't you keep any records regarding your farming activities?",Q127-WhyRecordsNotKept
Qtn. 128 Overall how satisfied are you with the total range of support and information that you have access to about farming?,Q128-SatisfactionSupportInformation
Qtn. 129 From where do you currently get this support and information? (Select all that apply) ,Q129-InformationFromWhere-O1
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O2,Q129-InformationFromWhere-O2
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O3,Q129-InformationFromWhere-O3
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O4,Q129-InformationFromWhere-O4
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O5,Q129-InformationFromWhere-O5
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O6,Q129-InformationFromWhere-O6
Qtn. 129 From where do you currently get this support and information? (Select all that apply) t_O7,Q129-InformationFromWhere-O7
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O8,Q129-InformationFromWhere-O8
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O9,Q129-InformationFromWhere-O9
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O10,Q129-InformationFromWhere-O10
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O11,Q129-InformationFromWhere-O11
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O12,Q129-InformationFromWhere-O12
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O13,Q129-InformationFromWhere-O13
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O14,Q129-InformationFromWhere-O14
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O15,Q129-InformationFromWhere-O15
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O16,Q129-InformationFromWhere-O16
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O17,Q129-InformationFromWhere-O17
Qtn. 129 From where do you currently get this support and information? (Select all that apply) _O18,Q129-InformationFromWhere-O18
Qtn.129  Others (Specify)_18,Q129-InformationFromWhere-O19-Text
Qtn. 130 How frequent do you conduct agricultural activities out of your own experimentation?,Q130-AgExperimentsFrequency
Qtn. 130 Others ( Specify)_S,Q130-AgExperimentsFrequency-Text
Qtn. 131 How frequent do you share agricultural information/practices with other farmers/friends/family?,Q131-AgSharingFrequency
Q_131 Others ( Specify)_8,Q131-AgSharingFrequency-Text
Qtn. 132 How frequent do you get guidance from farmer promoters in your farming activities,Q132-FarmPromotorGuidanceFrequency
Qtn. 132 Others (Specify),Q132-FarmPromotorGuidanceFrequency-Text
Qtn. 133 How frequent do you get support from extension workers from your cooperative?,Q133-CoopExtensionSupportFrequency
Qtn.133 Others (Specify),Q133-CoopExtensionSupportFrequency-Text
Qtn. 134 How frequent do you get support from An extension officer visits to your farm,Q134-ExtensionOfficerVisitFrequency
Qtn. 134 Others (specify),Q134-ExtensionOfficerVisitFrequency-Text
Qtn. 135.How frequent do you get support/information from Radio stations? Frequency_Gettinginfo_from_Radio,Q135-RadioStationFrequency
Qtn. 135 Others (Specify),Q135-RadioStationFrequency-Text
Qtn 136 How frequent do you get support/information from WeFarm?,Q136-WeFarmFrequency
Qtn.136 Others (Specify),Q136-WeFarmFrequency-Text
Qtn. 137 How frequent do you get support/information from mobile phones?,Q137-MobileFrequency
Qtn. 137 Others ( Specify) ,Q137-MobileFrequency-Text
Qtn. 138 How frequent do you get support/information from Newspapers?,Q138-NewspaperFrequency
Qtn. 138 Others (specify),Q138-NewspaperFrequency-Text
Qtn.139 How frequent do you get support/information from Television Stations?,Q139-TVFrequency
Qtn. 139 Others (Specify),Q139-TVFrequency-Text
Qtn. 140 How frequent do you get support/information from internet?,Q140-InternetFrequency
Qtn. 140 Others (Specify),Q140-InternetFrequency-Text
Qtn. 141 How frequent do you get support/information from Centers of Excellence?,Q141-CenterOfExcellenceFrequency
Qtn. 141 Others ( Specify),Q141-CenterOfExcellenceFrequency-Text
Qtn. 142 How frequent do you get support as a member of a local group (womenÍs group etc?,Q142-LocalGroupFrequency
Qtn. 142 Othes (Specify),Q142-LocalGroupFrequency-Text
Qtn. 143 How frequent do you get support from training sessions/workshops (including farmer Forums),Q143-TrainingSessionFrequency
Qtn. 143 Others (Specify),Q143-TrainingSessionFrequency-Text
Qtn. 144 How frequent do you get support from training materials/leaflets,Q144-TrainingMaterialsFrequency
Qtn. 144 Others (Specify),Q144-TrainingMaterialsFrequency-Text
Qtn. 145 Which of these information sources do you find most valuable/ useful_1,Q145-MostValuableSources-O1
Qtn. 145 Which of these information sources do you find most valuable/ useful_O2,Q145-MostValuableSources-O2
Qtn. 145 Which of these information sources do you find most valuable/ useful_O3,Q145-MostValuableSources-O3
Qtn. 145 Which of these information sources do you find most valuable/ useful_O4,Q145-MostValuableSources-O4
Qtn. 145 Which of these information sources do you find most valuable/ useful_O5,Q145-MostValuableSources-O5
Qtn. 145 Which of these information sources do you find most valuable/ usefule_O6,Q145-MostValuableSources-O6
Qtn. 145 Which of these information sources do you find most valuable/ useful_O7,Q145-MostValuableSources-O7
Qtn. 145 Which of these information sources do you find most valuable/ useful_O8,Q145-MostValuableSources-O8
Qtn. 145 Which of these information sources do you find most valuable/ useful_O9,Q145-MostValuableSources-O9
Qtn. 145 Which of these information sources do you find most valuable/ useful_O10,Q145-MostValuableSources-O10
Qtn. 145 Which of these information sources do you find most valuable/ useful_O11,Q145-MostValuableSources-O11
Qtn. 145 Which of these information sources do you find most valuable/ useful_O12,Q145-MostValuableSources-O12
Qtn. 145 Which of these information sources do you find most valuable/ usefule_O13,Q145-MostValuableSources-O13
Qtn. 145 Which of these information sources do you find most valuable/ useful_O14,Q145-MostValuableSources-O14
Qtn. 146 Is there any information that you would like to know about your farm that you do not already have?,Q146-OtherInfoLikeToKnow
"Qtn. 147 If yes, which areas do you wish to receive more information on and/or be trained on",Q147-OtherInfoAreas
Qtn.148 Do you have ideas about changes you would like to make on your farm that you have not been able to carry out?,Q148-IdeasOfChanges
